n=2 nu=-1,-1,-1,1 N=2: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,-1,2 N=3: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,-1,3 N=4: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,-1,4 N=5: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,0,0 N=2: deg 1 (homogeneous 1) a1:1 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,0,1 N=3: deg 2 (homogeneous 2) a1:2 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,0,2 N=4: deg 3 (homogeneous 3) a1:3 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,0,3 N=5: deg 4 (homogeneous 4) a1:4 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,0,4 N=6: deg 5 (homogeneous 5) a1:5 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,-1 N=2: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,0 N=3: deg 2 (homogeneous 2) a1:2 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,1 N=4: deg 4 (homogeneous 4) a1:4 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,2 N=5: deg 6 (homogeneous 6) a1:6 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,3 N=6: deg 8 (homogeneous 8) a1:8 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,1,4 N=7: deg 10 (homogeneous 10) a1:10 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,-1 N=3: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,0 N=4: deg 3 (homogeneous 3) a1:3 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,1 N=5: deg 6 (homogeneous 6) a1:6 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,2 N=6: deg 9 (homogeneous 9) a1:9 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,3 N=7: deg 12 (homogeneous 12) a1:12 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,2,4 N=8: deg 15 (homogeneous 15) a1:15 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,-1 N=4: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,0 N=5: deg 4 (homogeneous 4) a1:4 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,1 N=6: deg 8 (homogeneous 8) a1:8 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,2 N=7: deg 12 (homogeneous 12) a1:12 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,3 N=8: deg 16 (homogeneous 16) a1:16 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,3,4 N=9: deg 20 (homogeneous 20) a1:20 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,-1 N=5: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,0 N=6: deg 5 (homogeneous 5) a1:5 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,1 N=7: deg 10 (homogeneous 10) a1:10 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,2 N=8: deg 15 (homogeneous 15) a1:15 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,3 N=9: deg 20 (homogeneous 20) a1:20 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,-1,4,4 N=10: deg 25 (homogeneous 25) a1:25 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,-1,0 N=2: deg 1 (homogeneous 1) a1:0 a2:1 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,-1,1 N=3: deg 2 (homogeneous 2) a1:0 a2:2 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=-1,0,-1,2 N=4: deg 3 (homogeneous 3) a1:0 a2:3 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
