n=2 nu=0,-1,0,-1 N=2: deg 1 (homogeneous 1) a1:0 a2:1 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=0,0,-1,-1 N=2: deg 1 (homogeneous 1) a1:1 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=0,0,0,-1 N=3: deg 3 (homogeneous 3) a1:1 a2:1 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=0,0,0,0 N=4: deg 6 (homogeneous 6) a1:2 a2:2 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=1,-1,-1,-1 N=2: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,-1,0,-1 N=3: deg 2 (homogeneous 2) a1:0 a2:2 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,-1,1,-1 N=4: deg 4 (homogeneous 4) a1:0 a2:4 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,0,-1,-1 N=3: deg 2 (homogeneous 2) a1:2 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,0,0,-1 N=4: deg 5 (homogeneous 5) a1:2 a2:2 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,0,0,0 N=5: deg 9 (homogeneous 9) a1:3 a2:3 a1-a2:3 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,0,1,-1 N=5: deg 8 (homogeneous 8) a1:2 a2:4 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=1,0,1,0 N=6: deg 13 (homogeneous 13) a1:4 a2:5 a1-a2:3 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=1,1,-1,-1 N=4: deg 4 (homogeneous 4) a1:4 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,1,0,-1 N=5: deg 8 (homogeneous 8) a1:4 a2:2 a1-a2:1 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=1,1,0,0 N=6: deg 13 (homogeneous 13) a1:5 a2:4 a1-a2:3 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=2 nu=1,1,1,-1 N=6: deg 12 (homogeneous 12) a1:4 a2:4 a1-a2:4 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,1,1,0 N=7: deg 18 (homogeneous 18) a1:6 a2:6 a1-a2:6 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=1,1,1,1 N=8: deg 24 (homogeneous 24) a1:8 a2:8 a1-a2:6 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=2 nu=2,-1,-1,-1 N=3: deg 0 (homogeneous 0) a1:0 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,-1,0,-1 N=4: deg 3 (homogeneous 3) a1:0 a2:3 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,-1,1,-1 N=5: deg 6 (homogeneous 6) a1:0 a2:6 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,-1,2,-1 N=6: deg 9 (homogeneous 9) a1:0 a2:9 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,0,-1,-1 N=4: deg 3 (homogeneous 3) a1:3 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=2,0,0,-1 N=5: deg 7 (homogeneous 7) a1:3 a2:3 a1-a2:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
