n=1 k=1 degree 1: 1 rows, rank 1, open orders 0
series n=1 k=1 (below, 0.0s): delta [1] formula-mismatch orders []
n=1 k=2 degree 3: 1 rows, rank 1, open orders 1
n=1 k=2 degree 2: 1 rows, rank 2, open orders 0
series n=1 k=2 (below, 0.0s): delta [2, 3] formula-mismatch orders []
n=1 k=3 degree 5: 1 rows, rank 1, open orders 2
n=1 k=3 degree 4: 1 rows, rank 2, open orders 1
n=1 k=3 degree 3: 1 rows, rank 3, open orders 0
series n=1 k=3 (below, 0.0s): delta [3, 4, 5] formula-mismatch orders [0]
n=1 k=4 degree 7: 1 rows, rank 1, open orders 3
n=1 k=4 degree 6: 1 rows, rank 2, open orders 2
n=1 k=4 degree 5: 1 rows, rank 3, open orders 1
n=1 k=4 degree 4: 1 rows, rank 4, open orders 0
series n=1 k=4 (below, 0.0s): delta [4, 5, 6, 7] formula-mismatch orders [0, 1]
n=1 k=5 degree 9: 1 rows, rank 1, open orders 4
n=1 k=5 degree 8: 1 rows, rank 2, open orders 3
n=1 k=5 degree 7: 1 rows, rank 3, open orders 2
n=1 k=5 degree 6: 1 rows, rank 4, open orders 1
n=1 k=5 degree 5: 1 rows, rank 5, open orders 0
series n=1 k=5 (below, 0.0s): delta [5, 6, 7, 8, 9] formula-mismatch orders [0, 1, 2]
n=1 k=6 degree 11: 1 rows, rank 1, open orders 5
n=1 k=6 degree 10: 1 rows, rank 2, open orders 4
n=1 k=6 degree 9: 1 rows, rank 3, open orders 3
n=1 k=6 degree 8: 1 rows, rank 4, open orders 2
n=1 k=6 degree 7: 1 rows, rank 5, open orders 1
n=1 k=6 degree 6: 1 rows, rank 6, open orders 0
series n=1 k=6 (below, 0.0s): delta [6, 7, 8, 9, 10, 11] formula-mismatch orders [0, 1, 2, 3]
n=1 k=7 degree 13: 1 rows, rank 1, open orders 6
n=1 k=7 degree 12: 1 rows, rank 2, open orders 5
n=1 k=7 degree 11: 1 rows, rank 3, open orders 4
n=1 k=7 degree 10: 1 rows, rank 4, open orders 3
n=1 k=7 degree 9: 1 rows, rank 5, open orders 2
n=1 k=7 degree 8: 1 rows, rank 6, open orders 1
n=1 k=7 degree 7: 1 rows, rank 7, open orders 0
series n=1 k=7 (below, 0.0s): delta [7, 8, 9, 10, 11, 12, 13] formula-mismatch orders [0, 1, 2, 3, 4]
n=1 k=8 degree 15: 1 rows, rank 1, open orders 7
n=1 k=8 degree 14: 1 rows, rank 2, open orders 6
n=1 k=8 degree 13: 1 rows, rank 3, open orders 5
n=1 k=8 degree 12: 1 rows, rank 4, open orders 4
n=1 k=8 degree 11: 1 rows, rank 5, open orders 3
n=1 k=8 degree 10: 1 rows, rank 6, open orders 2
n=1 k=8 degree 9: 1 rows, rank 7, open orders 1
n=1 k=8 degree 8: 1 rows, rank 8, open orders 0
series n=1 k=8 (below, 0.0s): delta [8, 9, 10, 11, 12, 13, 14, 15] formula-mismatch orders [0, 1, 2, 3, 4, 5]
n=1 k=9 degree 17: 1 rows, rank 1, open orders 8
n=1 k=9 degree 16: 1 rows, rank 2, open orders 7
n=1 k=9 degree 15: 1 rows, rank 3, open orders 6
n=1 k=9 degree 14: 1 rows, rank 4, open orders 5
n=1 k=9 degree 13: 1 rows, rank 5, open orders 4
n=1 k=9 degree 12: 1 rows, rank 6, open orders 3
n=1 k=9 degree 11: 1 rows, rank 7, open orders 2
n=1 k=9 degree 10: 1 rows, rank 8, open orders 1
n=1 k=9 degree 9: 1 rows, rank 9, open orders 0
series n=1 k=9 (below, 0.0s): delta [9, 10, 11, 12, 13, 14, 15, 16, 17] formula-mismatch orders [0, 1, 2, 3, 4, 5, 6]
n=1 k=10 degree 19: 1 rows, rank 1, open orders 9
n=1 k=10 degree 18: 1 rows, rank 2, open orders 8
n=1 k=10 degree 17: 1 rows, rank 3, open orders 7
n=1 k=10 degree 16: 1 rows, rank 4, open orders 6
n=1 k=10 degree 15: 1 rows, rank 5, open orders 5
n=1 k=10 degree 14: 1 rows, rank 6, open orders 4
n=1 k=10 degree 13: 1 rows, rank 7, open orders 3
n=1 k=10 degree 12: 1 rows, rank 8, open orders 2
n=1 k=10 degree 11: 1 rows, rank 9, open orders 1
