n=3 d=4: N=16, matrix 15x15
n=3 d=4: N=16, matrix 15x15
CONTENT -8
FACTOR deg=0 terms=1 mult=1 content=-8 -8
FACTOR deg=1 terms=3 mult=1 content=-1 -y1+y2-y3
FACTOR deg=1 terms=3 mult=1 content=1 y1+y2-y3
FACTOR deg=1 terms=3 mult=1 content=-1 -y1+y2+y3
FACTOR deg=4 terms=15 mult=1 content=1 (large)
FACTOR deg=4 terms=15 mult=1 content=1 (large)
FACTOR deg=4 terms=15 mult=1 content=1 (large)
FACTOR deg=1 terms=1 mult=16 content=1 y1
FACTOR deg=1 terms=1 mult=16 content=1 y2
FACTOR deg=1 terms=2 mult=16 content=-1 -y1+y2
FACTOR deg=1 terms=2 mult=16 content=1 y1-y3
FACTOR deg=1 terms=2 mult=16 content=1 y2-y3
FACTOR deg=1 terms=1 mult=16 content=1 y3
