n=3 d=3: N=12, matrix 11x11
n=3 d=3: N=12, matrix 11x11
CONTENT 2
FACTOR deg=0 terms=1 mult=1 content=-2 -2
FACTOR deg=2 terms=6 mult=1 content=1 (large)
FACTOR deg=2 terms=6 mult=1 content=-1 (large)
FACTOR deg=2 terms=6 mult=1 content=1 (large)
FACTOR deg=2 terms=6 mult=1 content=-1 (large)
FACTOR deg=1 terms=1 mult=9 content=1 y1
FACTOR deg=1 terms=1 mult=9 content=1 y2
FACTOR deg=1 terms=2 mult=9 content=-1 -y1+y2
FACTOR deg=1 terms=2 mult=9 content=1 y1-y3
FACTOR deg=1 terms=2 mult=9 content=1 y2-y3
FACTOR deg=1 terms=1 mult=9 content=1 y3
