{'d': 2, 'rho': 1, 'm': 8, 'rank_at_P': 3, 'jump': 5}
{'d': 2, 'rho': 2, 'm': 9, 'rank_at_P': 3, 'jump': 5}
{'d': 3, 'rho': 1, 'm': 12, 'rank_at_P': 4, 'jump': 8}
{'d': 3, 'rho': 2, 'm': 13, 'rank_at_P': 4, 'jump': 8}
{'d': 3, 'rho': 3, 'm': 14, 'rank_at_P': 4, 'jump': 8}
{'d': 4, 'rho': 1, 'm': 16, 'rank_at_P': 5, 'jump': 11}
{'d': 4, 'rho': 2, 'm': 17, 'rank_at_P': 5, 'jump': 11}
{'d': 4, 'rho': 3, 'm': 18, 'rank_at_P': 5, 'jump': 11}
{'d': 4, 'rho': 4, 'm': 19, 'rank_at_P': 5, 'jump': 11}
{'d': 5, 'rho': 1, 'm': 20, 'rank_at_P': 6, 'jump': 14}
{'d': 5, 'rho': 2, 'm': 21, 'rank_at_P': 6, 'jump': 14}
{'d': 5, 'rho': 3, 'm': 22, 'rank_at_P': 6, 'jump': 14}
{'d': 5, 'rho': 4, 'm': 23, 'rank_at_P': 6, 'jump': 14}
{'d': 5, 'rho': 5, 'm': 24, 'rank_at_P': 6, 'jump': 14}
{'d': 6, 'rho': 1, 'm': 24, 'rank_at_P': 7, 'jump': 17}
{'d': 6, 'rho': 2, 'm': 25, 'rank_at_P': 7, 'jump': 17}
{'d': 6, 'rho': 3, 'm': 26, 'rank_at_P': 7, 'jump': 17}
{'d': 6, 'rho': 4, 'm': 27, 'rank_at_P': 7, 'jump': 17}
{'d': 6, 'rho': 5, 'm': 28, 'rank_at_P': 7, 'jump': 17}
{'d': 6, 'rho': 6, 'm': 29, 'rank_at_P': 7, 'jump': 17}
