decoder_l1/equality_image: 4 exact axiom multiples, degree 2.
decoder_l1/bit_Boolean_0_0: 1 exact axiom multiples, degree 2.
decoder_l1/bit_Boolean_1_0: 1 exact axiom multiples, degree 2.
packing_l1/companion_0: 2 exact axiom multiples, degree 2.
decoder_l2/equality_image: 14 exact axiom multiples, degree 2.
decoder_l2/bit_Boolean_0_0: 2 exact axiom multiples, degree 2.
decoder_l2/bit_Boolean_0_1: 2 exact axiom multiples, degree 2.
decoder_l2/bit_Boolean_1_0: 2 exact axiom multiples, degree 2.
decoder_l2/bit_Boolean_1_1: 2 exact axiom multiples, degree 2.
packing_l2/companion_0: 2 exact axiom multiples, degree 3.
packing_l2/companion_1: 2 exact axiom multiples, degree 3.
packing_l2/coefficient_field_5: 2 exact axiom multiples, degree 2.
decoder_l3/equality_image: 60 exact axiom multiples, degree 3.
decoder_l3/bit_Boolean_0_0: 4 exact axiom multiples, degree 2.
decoder_l3/bit_Boolean_0_1: 4 exact axiom multiples, degree 2.
decoder_l3/bit_Boolean_0_2: 4 exact axiom multiples, degree 2.
decoder_l3/bit_Boolean_1_0: 4 exact axiom multiples, degree 2.
decoder_l3/bit_Boolean_1_1: 4 exact axiom multiples, degree 2.
decoder_l3/bit_Boolean_1_2: 4 exact axiom multiples, degree 2.
packing_l3/companion_0: 2 exact axiom multiples, degree 4.
packing_l3/companion_1: 2 exact axiom multiples, degree 4.
packing_l3/companion_2: 2 exact axiom multiples, degree 4.
packing_l3/coefficient_field_7: 2 exact axiom multiples, degree 2.
decoder_l4/equality_image: 250 exact axiom multiples, degree 4.
decoder_l4/bit_Boolean_0_0: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_0_1: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_0_2: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_0_3: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_1_0: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_1_1: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_1_2: 8 exact axiom multiples, degree 2.
decoder_l4/bit_Boolean_1_3: 8 exact axiom multiples, degree 2.
packing_l4/companion_0: 2 exact axiom multiples, degree 5.
packing_l4/companion_1: 2 exact axiom multiples, degree 5.
packing_l4/companion_2: 2 exact axiom multiples, degree 5.
packing_l4/companion_3: 2 exact axiom multiples, degree 5.
packing_l4/coefficient_field_9: 2 exact axiom multiples, degree 2.
packing_l4/coefficient_field_15: 2 exact axiom multiples, degree 2.
