n=1 d=0: 1 rows; coefficients 0..12 passed
n=1 d=1: 2 rows; coefficients 0..12 passed
n=1 d=2: 3 rows; coefficients 0..12 passed
n=1 d=3: 4 rows; coefficients 0..12 passed
n=1 d=4: 5 rows; coefficients 0..12 passed
n=2 d=0: 1 rows; coefficients 0..12 passed
n=2 d=1: 3 rows; coefficients 0..12 passed
n=2 d=2: 5 rows; coefficients 0..12 passed
n=2 d=3: 7 rows; coefficients 0..12 passed
n=2 d=4: 9 rows; coefficients 0..12 passed
n=3 d=0: 1 rows; coefficients 0..12 passed
n=3 d=1: 4 rows; coefficients 0..12 passed
n=3 d=2: 8 rows; coefficients 0..12 passed
n=3 d=3: 12 rows; coefficients 0..12 passed
n=3 d=4: 16 rows; coefficients 0..12 passed
n=4 d=0: 1 rows; coefficients 0..12 passed
n=4 d=1: 5 rows; coefficients 0..12 passed
n=4 d=2: 12 rows; coefficients 0..12 passed
n=4 d=3: 20 rows; coefficients 0..12 passed
n=4 d=4: 28 rows; coefficients 0..12 passed
n=5 d=0: 1 rows; coefficients 0..12 passed
n=5 d=1: 6 rows; coefficients 0..12 passed
n=5 d=2: 17 rows; coefficients 0..12 passed
n=5 d=3: 32 rows; coefficients 0..12 passed
n=5 d=4: 48 rows; coefficients 0..12 passed
Nonzero n=1,d=1,m=2 witness: [0, 1/4*a, 1]; raised witness: [0, 1/4*a^2, -1/2*a, -3]
At p=3 this operator loses the marked coefficient, as asserted; no general monotonicity conclusion there.
PASS: 251 complete rows; 3263 dyadic polynomial identities; 670 missing-lower-row and 2698 wrong-shift failures detected.
