{'r': 2, 'trial': 0, 'family': 'mixed', 'H': [1, 46, 829, 6912], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 22]}
{'r': 2, 'trial': 1, 'family': 'mixed', 'H': [1, 46, 829, 6892], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 2]}
{'r': 2, 'trial': 2, 'family': 'mixed', 'H': [1, 46, 829, 6912], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 22]}
{'r': 3, 'trial': 0, 'family': 'mixed', 'H': [1, 45, 783, 6110], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 48]}
{'r': 3, 'trial': 1, 'family': 'mixed', 'H': [1, 45, 783, 6110], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 48]}
{'r': 3, 'trial': 2, 'family': 'mixed', 'H': [1, 45, 783, 6110], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 48]}
{'r': 4, 'trial': 0, 'family': 'mixed', 'H': [1, 44, 738, 5312], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 32]}
{'r': 4, 'trial': 1, 'family': 'mixed', 'H': [1, 44, 738, 5329], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 49]}
{'r': 4, 'trial': 2, 'family': 'mixed', 'H': [1, 44, 738, 5329], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 49]}
{'r': 5, 'trial': 0, 'family': 'mixed', 'H': [1, 43, 695, 4697], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 1, 154]}
{'r': 5, 'trial': 1, 'family': 'mixed', 'H': [1, 43, 695, 4688], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 1, 145]}
{'r': 5, 'trial': 2, 'family': 'mixed', 'H': [1, 43, 695, 4688], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 1, 145]}
