{'r': 2, 'trial': 0, 'family': 'random', 'H': [1, 46, 829, 6890], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 0]}
{'r': 2, 'trial': 1, 'family': 'random', 'H': [1, 46, 829, 6890], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 0]}
{'r': 2, 'trial': 2, 'family': 'random', 'H': [1, 46, 829, 6890], 'T': [1, 46, 829, 6890], 'excess': [0, 0, 0, 0]}
{'r': 3, 'trial': 0, 'family': 'random', 'H': [1, 45, 783, 6062], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 0]}
{'r': 3, 'trial': 1, 'family': 'random', 'H': [1, 45, 783, 6062], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 0]}
{'r': 3, 'trial': 2, 'family': 'random', 'H': [1, 45, 783, 6062], 'T': [1, 45, 783, 6062], 'excess': [0, 0, 0, 0]}
{'r': 4, 'trial': 0, 'family': 'random', 'H': [1, 44, 738, 5280], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 0]}
{'r': 4, 'trial': 1, 'family': 'random', 'H': [1, 44, 738, 5280], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 0]}
{'r': 4, 'trial': 2, 'family': 'random', 'H': [1, 44, 738, 5280], 'T': [1, 44, 738, 5280], 'excess': [0, 0, 0, 0]}
{'r': 5, 'trial': 0, 'family': 'random', 'H': [1, 43, 694, 4543], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 0, 0]}
{'r': 5, 'trial': 1, 'family': 'random', 'H': [1, 43, 694, 4543], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 0, 0]}
{'r': 5, 'trial': 2, 'family': 'random', 'H': [1, 43, 694, 4543], 'T': [1, 43, 694, 4543], 'excess': [0, 0, 0, 0]}
