200 2 {'forced_fraction': 0.9620000000000001, 'pigeons_without_kept_cells': 28.2, 'ln_n': 5.298317366548036}
200 4 {'forced_fraction': 0.808, 'pigeons_without_kept_cells': 3.4, 'ln_n': 5.298317366548036}
200 6 {'forced_fraction': 0.43900000000000006, 'pigeons_without_kept_cells': 0.4, 'ln_n': 5.298317366548036}
200 8 {'forced_fraction': 0.16699999999999998, 'pigeons_without_kept_cells': 0.0, 'ln_n': 5.298317366548036}
200 10 {'forced_fraction': 0.049, 'pigeons_without_kept_cells': 0.0, 'ln_n': 5.298317366548036}
200 12 {'forced_fraction': 0.03, 'pigeons_without_kept_cells': 0.0, 'ln_n': 5.298317366548036}
200 16 {'forced_fraction': 0.002, 'pigeons_without_kept_cells': 0.0, 'ln_n': 5.298317366548036}
800 2 {'forced_fraction': 0.9914999999999999, 'pigeons_without_kept_cells': 111.6, 'ln_n': 6.684611727667927}
800 4 {'forced_fraction': 0.889, 'pigeons_without_kept_cells': 16.6, 'ln_n': 6.684611727667927}
800 6 {'forced_fraction': 0.77675, 'pigeons_without_kept_cells': 2.0, 'ln_n': 6.684611727667927}
800 8 {'forced_fraction': 0.532, 'pigeons_without_kept_cells': 0.6, 'ln_n': 6.684611727667927}
800 10 {'forced_fraction': 0.4205, 'pigeons_without_kept_cells': 0.0, 'ln_n': 6.684611727667927}
800 12 {'forced_fraction': 0.045, 'pigeons_without_kept_cells': 0.0, 'ln_n': 6.684611727667927}
800 16 {'forced_fraction': 0.006500000000000001, 'pigeons_without_kept_cells': 0.0, 'ln_n': 6.684611727667927}
