4 6 0 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
4 6 1 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
4 6 2 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
4 7 0 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
4 7 1 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
4 7 2 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 8 0 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 8 1 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 8 2 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 9 0 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 9 1 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
5 9 2 first defect None [1213, 3352, 7634, 14556, 23422] [1213, 3352, 7634, 14556, 23422]
