{'chessboard_3x4_H1': 2, 'chessboard_4x5_H2': 20, 'chessboard_3x5_H1': 0, 'two_rows_same_5_H0': 0}
{'s': 2, 'holes': 6, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 2, 'holes': 8, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 2, 'holes': 8, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 3, 'holes': 9, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 3, 'holes': 11, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 3, 'holes': 12, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 4, 'holes': 12, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 4, 'holes': 14, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 4, 'holes': 16, 'tested': 60, 'nonzero_H_s-2': 0}
{'s': 5, 'holes': 15, 'tested': 30, 'nonzero_H_s-2': 0}
{'s': 5, 'holes': 17, 'tested': 30, 'nonzero_H_s-2': 0}
{'s': 5, 'holes': 20, 'tested': 30, 'nonzero_H_s-2': 0}
