9 0 excess [0, 0, 0, 7, 9] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
9 1 excess [0, 0, 0, 7, 9] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
10 0 excess [0, 0, 0, 1, 15] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
10 1 excess [0, 0, 0, 1, 15] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
11 0 excess [0, 0, 0, 0, 15] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
11 1 excess [0, 0, 0, 0, 15] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
12 0 excess [0, 0, 0, 0, 11] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
12 1 excess [0, 0, 0, 0, 9] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
13 0 excess [0, 0, 0, 0, 4] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
13 1 excess [0, 0, 0, 0, 3] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
14 0 excess [0, 0, 0, 0, 2] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
14 1 excess [0, 0, 0, 0, 1] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
15 0 excess [0, 0, 0, 0, 0] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
15 1 excess [0, 0, 0, 0, 3] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
16 0 excess [0, 0, 0, 0, 1] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
16 1 excess [0, 0, 0, 0, 0] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
17 0 excess [0, 0, 0, 0, 0] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
17 1 excess [0, 0, 0, 0, 1] {'zero': 0, 'max_points_rank1': 1, 'max_points_rank2': 2, 'max_points_rank3': 3}
