n=7: gamma1..4 = 48,812,5824,15750; ranks done (17s)
generators done (17s)
{'M': 1, 'a': True, 'b': True, 'ker4': 48, 'gens4': 48, 'b4': True, 'rank4': 764, 'closure_s': 0.7, 'rank': 50170, 'top': 43814, 'low': 6356, 'refuted': False}
{'M': 2, 'a': True, 'b': True, 'ker4': 97, 'gens4': 97, 'b4': True, 'rank4': 1527, 'closure_s': 1.8, 'rank': 50981, 'top': 44577, 'low': 6404, 'refuted': False}
{'M': 3, 'a': True, 'b': True, 'ker4': 147, 'gens4': 147, 'b4': True, 'rank4': 2289, 'closure_s': 3.3, 'rank': 51791, 'top': 45339, 'low': 6452, 'refuted': False}
{'M': 4, 'a': True, 'b': True, 'ker4': 198, 'gens4': 198, 'b4': True, 'rank4': 3050, 'closure_s': 5.0, 'rank': 52600, 'top': 46100, 'low': 6500, 'refuted': False}
{'M': 5, 'a': True, 'b': True, 'ker4': 250, 'gens4': 250, 'b4': True, 'rank4': 3810, 'closure_s': 7.8, 'rank': 53408, 'top': 46860, 'low': 6548, 'refuted': False}
{'M': 6, 'a': True, 'b': True, 'ker4': 303, 'gens4': 303, 'b4': True, 'rank4': 4569, 'closure_s': 9.1, 'rank': 54215, 'top': 47619, 'low': 6596, 'refuted': False}
{'M': 7, 'a': True, 'b': True, 'ker4': 357, 'gens4': 357, 'b4': True, 'rank4': 5327, 'closure_s': 11.8, 'rank': 55021, 'top': 48377, 'low': 6644, 'refuted': False}
{'M': 8, 'a': True, 'b': True, 'ker4': 412, 'gens4': 412, 'b4': True, 'rank4': 6084, 'closure_s': 13.6, 'rank': 55826, 'top': 49134, 'low': 6692, 'refuted': False}
{'M': 9, 'a': True, 'b': True, 'ker4': 468, 'gens4': 468, 'b4': True, 'rank4': 6840, 'closure_s': 14.8, 'rank': 56630, 'top': 49890, 'low': 6740, 'refuted': False}
{'M': 10, 'a': True, 'b': True, 'ker4': 525, 'gens4': 525, 'b4': True, 'rank4': 7595, 'closure_s': 16.6, 'rank': 57433, 'top': 50645, 'low': 6788, 'refuted': False}
{'M': 11, 'a': True, 'b': True, 'ker4': 583, 'gens4': 583, 'b4': True, 'rank4': 8349, 'closure_s': 17.8, 'rank': 58235, 'top': 51399, 'low': 6836, 'refuted': False}
{'M': 12, 'a': True, 'b': True, 'ker4': 642, 'gens4': 642, 'b4': True, 'rank4': 9102, 'closure_s': 19.4, 'rank': 59036, 'top': 52152, 'low': 6884, 'refuted': False}
{'M': 13, 'a': True, 'b': True, 'ker4': 702, 'gens4': 702, 'b4': True, 'rank4': 9854, 'closure_s': 21.2, 'rank': 59836, 'top': 52904, 'low': 6932, 'refuted': False}
{'M': 14, 'a': True, 'b': True, 'ker4': 763, 'gens4': 763, 'b4': True, 'rank4': 10605, 'closure_s': 22.6, 'rank': 60635, 'top': 53655, 'low': 6980, 'refuted': False}
{'M': 15, 'a': True, 'b': True, 'ker4': 825, 'gens4': 825, 'b4': True, 'rank4': 11355, 'closure_s': 24.0, 'rank': 61433, 'top': 54405, 'low': 7028, 'refuted': False}
{'M': 16, 'a': True, 'b': True, 'ker4': 888, 'gens4': 888, 'b4': True, 'rank4': 12104, 'closure_s': 25.7, 'rank': 62230, 'top': 55154, 'low': 7076, 'refuted': False}
{'M': 17, 'a': True, 'b': True, 'ker4': 952, 'gens4': 952, 'b4': True, 'rank4': 12852, 'closure_s': 26.9, 'rank': 63026, 'top': 55902, 'low': 7124, 'refuted': False}
{'M': 18, 'a': True, 'b': True, 'ker4': 1017, 'gens4': 1017, 'b4': True, 'rank4': 13599, 'closure_s': 28.7, 'rank': 63821, 'top': 56649, 'low': 7172, 'refuted': False}
{'M': 19, 'a': True, 'b': True, 'ker4': 1083, 'gens4': 1083, 'b4': True, 'rank4': 14345, 'closure_s': 29.8, 'rank': 64615, 'top': 57395, 'low': 7220, 'refuted': False}
{'M': 20, 'a': True, 'b': True, 'ker4': 1150, 'gens4': 1150, 'b4': True, 'rank4': 15090, 'closure_s': 30.9, 'rank': 65408, 'top': 58140, 'low': 7268, 'refuted': False}
{'M': 21, 'a': True, 'b': True, 'ker4': 1302, 'gens4': 1218, 'b4': False, 'rank4': 15750, 'closure_s': 313.3, 'rank': 71793, 'top': 58800, 'low': 12993, 'refuted': True}
hypotheses hold up to 20; first refuted 21; prediction holds True (667s)
