base {'rank': 4571, 'top': 4291, 'low': 280, 'refuted': False} (1s)
own pencil deltas [{'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}, {'low': 37, 'top': 494, 'refuted': False}] (9s)
{'k': 0, 'M': 0, 'rank': 4571, 'top': 4291, 'low': 280, 'refuted': False, 'pred_low': 280, 'pred_top': 4291, 'excess_low': 0} (10s)
{'k': 0, 'M': 10, 'rank': 4921, 'top': 4631, 'low': 290, 'refuted': False, 'pred_low': 290, 'pred_top': 4631, 'excess_low': 0} (10s)
{'k': 0, 'M': 20, 'rank': 5271, 'top': 4971, 'low': 300, 'refuted': False, 'pred_low': 300, 'pred_top': 4971, 'excess_low': 0} (10s)
{'k': 0, 'M': 30, 'rank': 5621, 'top': 5311, 'low': 310, 'refuted': False, 'pred_low': 310, 'pred_top': 5311, 'excess_low': 0} (10s)
{'k': 0, 'M': 40, 'rank': 5971, 'top': 5651, 'low': 320, 'refuted': False, 'pred_low': 320, 'pred_top': 5651, 'excess_low': 0} (10s)
{'k': 0, 'M': 50, 'rank': 6321, 'top': 5991, 'low': 330, 'refuted': False, 'pred_low': 330, 'pred_top': 5991, 'excess_low': 0} (10s)
{'k': 0, 'M': 60, 'rank': 6671, 'top': 6331, 'low': 340, 'refuted': False, 'pred_low': 340, 'pred_top': 6331, 'excess_low': 0} (10s)
{'k': 0, 'M': 70, 'rank': 7021, 'top': 6671, 'low': 350, 'refuted': False, 'pred_low': 350, 'pred_top': 6671, 'excess_low': 0} (10s)
{'k': 0, 'M': 75, 'rank': 7196, 'top': 6841, 'low': 355, 'refuted': False, 'pred_low': 355, 'pred_top': 6841, 'excess_low': 0} (10s)
{'k': 0, 'M': 76, 'rank': 7638, 'top': 6860, 'low': 778, 'refuted': True, 'pred_low': 356, 'pred_top': 6875, 'excess_low': 422} (11s)
{'k': 1, 'M': 0, 'rank': 5102, 'top': 4785, 'low': 317, 'refuted': False, 'pred_low': 317, 'pred_top': 4785, 'excess_low': 0} (11s)
{'k': 1, 'M': 10, 'rank': 5442, 'top': 5115, 'low': 327, 'refuted': False, 'pred_low': 327, 'pred_top': 5125, 'excess_low': 0} (11s)
{'k': 1, 'M': 20, 'rank': 5782, 'top': 5445, 'low': 337, 'refuted': False, 'pred_low': 337, 'pred_top': 5465, 'excess_low': 0} (11s)
{'k': 1, 'M': 30, 'rank': 6122, 'top': 5775, 'low': 347, 'refuted': False, 'pred_low': 347, 'pred_top': 5805, 'excess_low': 0} (12s)
{'k': 1, 'M': 40, 'rank': 6462, 'top': 6105, 'low': 357, 'refuted': False, 'pred_low': 357, 'pred_top': 6145, 'excess_low': 0} (12s)
{'k': 1, 'M': 50, 'rank': 6802, 'top': 6435, 'low': 367, 'refuted': False, 'pred_low': 367, 'pred_top': 6485, 'excess_low': 0} (12s)
{'k': 1, 'M': 60, 'rank': 7142, 'top': 6765, 'low': 377, 'refuted': False, 'pred_low': 377, 'pred_top': 6825, 'excess_low': 0} (12s)
{'k': 1, 'M': 70, 'rank': 7638, 'top': 6860, 'low': 778, 'refuted': True, 'pred_low': 387, 'pred_top': 7165, 'excess_low': 391} (12s)
{'k': 2, 'M': 0, 'rank': 5595, 'top': 5242, 'low': 353, 'refuted': False, 'pred_low': 354, 'pred_top': 5279, 'excess_low': -1} (13s)
