{'d': 1, 'r2': 1, 'free2': 1, 'r3': 34, 'free3': 34, 'free': True, 'saturated3': False}
{'d': 2, 'r2': 3, 'free2': 3, 'r3': 101, 'free3': 101, 'free': True, 'saturated3': False}
{'d': 3, 'r2': 6, 'free2': 6, 'r3': 199, 'free3': 199, 'free': True, 'saturated3': False}
{'d': 4, 'r2': 10, 'free2': 10, 'r3': 326, 'free3': 326, 'free': True, 'saturated3': False}
{'d': 5, 'r2': 15, 'free2': 15, 'r3': 480, 'free3': 480, 'free': True, 'saturated3': False}
{'d': 6, 'r2': 21, 'free2': 21, 'r3': 659, 'free3': 659, 'free': True, 'saturated3': False}
{'d': 7, 'r2': 28, 'free2': 28, 'r3': 861, 'free3': 861, 'free': True, 'saturated3': False}
{'d': 8, 'r2': 36, 'free2': 36, 'r3': 1084, 'free3': 1084, 'free': True, 'saturated3': False}
{'d': 9, 'r2': 45, 'free2': 45, 'r3': 1326, 'free3': 1326, 'free': True, 'saturated3': False}
{'d': 10, 'r2': 55, 'free2': 55, 'r3': 1585, 'free3': 1585, 'free': True, 'saturated3': False}
{'d': 11, 'r2': 66, 'free2': 66, 'r3': 1645, 'free3': 1859, 'free': False, 'saturated3': True}
{'d': 12, 'r2': 78, 'free2': 78, 'r3': 1645, 'free3': 2146, 'free': False, 'saturated3': True}
