seed 1 dims (2,) frac 1.0: sizes [4] own r2 [3] r3 [101]; together r2 3 r3 101 (additive True; freeness [3, 101] ok True); crossing M_rand=46; deviations deg2 [] (0), deg3 [] (0) (0s)
seed 1 dims (3,) frac 1.0: sizes [13] own r2 [6] r3 [199]; together r2 6 r3 199 (additive True; freeness [6, 199] ok True); crossing M_rand=43; deviations deg2 [] (0), deg3 [] (0) (0s)
seed 1 dims (3,) frac 0.5: sizes [6] own r2 [5] r3 [167]; together r2 5 r3 167 (additive True; freeness [5, 167] ok True); crossing M_rand=44; deviations deg2 [] (0), deg3 [] (0) (1s)
seed 1 dims (4,) frac 1.0: sizes [40] own r2 [10] r3 [326]; together r2 10 r3 326 (additive True; freeness [10, 326] ok True); crossing M_rand=39; deviations deg2 [] (0), deg3 [] (0) (1s)
seed 1 dims (4,) frac 0.5: sizes [20] own r2 [10] r3 [326]; together r2 10 r3 326 (additive True; freeness [10, 326] ok True); crossing M_rand=39; deviations deg2 [] (0), deg3 [] (0) (1s)
seed 1 dims (5,) frac 1.0: sizes [121] own r2 [15] r3 [480]; together r2 15 r3 480 (additive True; freeness [15, 480] ok True); crossing M_rand=35; deviations deg2 [] (0), deg3 [] (0) (1s)
seed 1 dims (5,) frac 0.5: sizes [60] own r2 [15] r3 [480]; together r2 15 r3 480 (additive True; freeness [15, 480] ok True); crossing M_rand=35; deviations deg2 [] (0), deg3 [] (0) (1s)
seed 1 dims (3, 3) frac 1.0: sizes [13, 13] own r2 [6, 6] r3 [199, 199]; together r2 12 r3 398 (additive True; freeness [12, 398] ok True); crossing M_rand=37; deviations deg2 [] (0), deg3 [] (0) (2s)
seed 1 dims (4, 4) frac 1.0: sizes [40, 40] own r2 [10, 10] r3 [326, 326]; together r2 20 r3 652 (additive True; freeness [20, 652] ok True); crossing M_rand=30; deviations deg2 [] (0), deg3 [] (0) (2s)
seed 1 dims (2, 2, 2, 2) frac 1.0: sizes [4, 4, 4, 4] own r2 [3, 3, 3, 3] r3 [101, 101, 101, 101]; together r2 12 r3 404 (additive True; freeness [12, 404] ok True); crossing M_rand=37; deviations deg2 [] (0), deg3 [] (0) (2s)
seed 2 dims (2,) frac 1.0: sizes [4] own r2 [3] r3 [101]; together r2 3 r3 101 (additive True; freeness [3, 101] ok True); crossing M_rand=46; deviations deg2 [] (0), deg3 [] (0) (2s)
seed 2 dims (3,) frac 1.0: sizes [13] own r2 [6] r3 [199]; together r2 6 r3 199 (additive True; freeness [6, 199] ok True); crossing M_rand=43; deviations deg2 [] (0), deg3 [] (0) (2s)
seed 2 dims (3,) frac 0.5: sizes [6] own r2 [6] r3 [199]; together r2 6 r3 199 (additive True; freeness [6, 199] ok True); crossing M_rand=43; deviations deg2 [] (0), deg3 [] (0) (3s)
seed 2 dims (4,) frac 1.0: sizes [40] own r2 [10] r3 [326]; together r2 10 r3 326 (additive True; freeness [10, 326] ok True); crossing M_rand=39; deviations deg2 [] (0), deg3 [] (0) (3s)
seed 2 dims (4,) frac 0.5: sizes [20] own r2 [10] r3 [326]; together r2 10 r3 326 (additive True; freeness [10, 326] ok True); crossing M_rand=39; deviations deg2 [] (0), deg3 [] (0) (3s)
seed 2 dims (5,) frac 1.0: sizes [121] own r2 [15] r3 [480]; together r2 15 r3 480 (additive True; freeness [15, 480] ok True); crossing M_rand=35; deviations deg2 [] (0), deg3 [] (0) (3s)
seed 2 dims (5,) frac 0.5: sizes [60] own r2 [15] r3 [480]; together r2 15 r3 480 (additive True; freeness [15, 480] ok True); crossing M_rand=35; deviations deg2 [] (0), deg3 [] (0) (3s)
seed 2 dims (3, 3) frac 1.0: sizes [13, 13] own r2 [6, 6] r3 [199, 199]; together r2 12 r3 398 (additive True; freeness [12, 398] ok True); crossing M_rand=37; deviations deg2 [] (0), deg3 [] (0) (4s)
seed 2 dims (4, 4) frac 1.0: sizes [40, 40] own r2 [10, 10] r3 [326, 326]; together r2 20 r3 652 (additive True; freeness [20, 652] ok True); crossing M_rand=30; deviations deg2 [] (0), deg3 [] (0) (4s)
seed 2 dims (2, 2, 2, 2) frac 1.0: sizes [4, 4, 4, 4] own r2 [3, 3, 3, 3] r3 [101, 101, 101, 101]; together r2 12 r3 404 (additive True; freeness [12, 404] ok True); crossing M_rand=37; deviations deg2 [] (0), deg3 [] (0) (4s)
