one clause hole 0 {0: 0, 1: 0, 2: 0}
one clause hole 1 {0: 0, 1: 0, 2: 0}
one clause hole 2 {0: 0, 1: 0, 2: 0}
one clause hole 3 {0: 1, 1: 10, 2: 46}
one clause hole 4 {0: 0, 1: 0, 2: 0}
one clause hole 5 {0: 0, 1: 0, 2: 0}
one clause hole 6 {0: 0, 1: 0, 2: 0}
one clause hole 7 {0: 0, 1: 0, 2: 0}
one clause hole 8 {0: 1, 1: 10, 2: 46}
one clause hole 9 {0: 0, 1: 0, 2: 0}
one clause hole 10 {0: 0, 1: 0, 2: 0}
one clause hole 11 {0: 0, 1: 0, 2: 0}
two-block pair hole 0 {0: 0, 1: 0, 2: 0}
two-block pair hole 1 {0: 0, 1: 0, 2: 0}
two-block pair hole 2 {0: 0, 1: 0, 2: 0}
two-block pair hole 3 {0: 1, 1: 10, 2: 46}
two-block pair hole 4 {0: 0, 1: 0, 2: 0}
two-block pair hole 5 {0: 0, 1: 0, 2: 0}
two-block pair hole 6 {0: 0, 1: 0, 2: 4}
two-block pair hole 7 {0: 0, 1: 0, 2: 1}
two-block pair hole 8 {0: 1, 1: 10, 2: 46}
two-block pair hole 9 {0: 0, 1: 0, 2: 4}
two-block pair hole 10 {0: 0, 1: 0, 2: 4}
two-block pair hole 11 {0: 0, 1: 0, 2: 0}
three clauses hole 0 {0: 0, 1: 0, 2: 0}
three clauses hole 1 {0: 0, 1: 0, 2: 0}
three clauses hole 2 {0: 0, 1: 0, 2: 0}
three clauses hole 3 {0: 1, 1: 10, 2: 46}
three clauses hole 4 {0: 0, 1: 0, 2: 0}
three clauses hole 5 {0: 0, 1: 0, 2: 0}
three clauses hole 6 {0: 0, 1: 0, 2: 0}
three clauses hole 7 {0: 0, 1: 0, 2: 0}
three clauses hole 8 {0: 1, 1: 10, 2: 46}
three clauses hole 9 {0: 0, 1: 0, 2: 0}
three clauses hole 10 {0: 0, 1: 0, 2: 0}
three clauses hole 11 {0: 0, 1: 0, 2: 0}
