remove 0 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 1 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 2 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 3 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 4 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 5 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 6 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 7 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 8 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 9 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 10 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 11 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 12 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 13 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 14 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 15 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 16 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 17 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 18 [1, 43, 586, 659] T [1, 43, 586, 659]
remove 19 [1, 43, 586, 660] T [1, 43, 586, 659]
remove 20 [1, 43, 586, 659] T [1, 43, 586, 659]
single-element: tested 200 non-free 0
