core [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 14, 15, 16, 18, 20] 15
robust-row histogram [0, 0, 0, 0, 0, 13, 203, 1356, 5320, 9492]
5 25 [4, 2, 2, 4, 3, 3, 2, 3, 2] [1, 62, 1593, 21274] True
5 26 [2, 1, 4, 2, 4, 3, 4, 2, 4] [1, 62, 1593, 21274] True
5 26 [1, 4, 4, 2, 2, 1, 4, 4, 4] [1, 62, 1593, 21274] True
5 26 [4, 1, 4, 3, 5, 4, 2, 1, 2] [1, 62, 1593, 21274] True
5 26 [2, 4, 4, 2, 2, 2, 4, 3, 3] [1, 62, 1593, 21274] True
5 26 [4, 2, 2, 2, 4, 3, 3, 4, 2] [1, 62, 1593, 21274] True
5 27 [3, 4, 4, 2, 2, 3, 2, 5, 2] [1, 62, 1593, 21274] True
5 27 [2, 3, 2, 2, 5, 5, 0, 4, 4] [1, 62, 1593, 21274] True
5 28 [5, 2, 3, 2, 2, 5, 3, 2, 4] [1, 62, 1593, 21274] True
5 29 [4, 5, 4, 2, 2, 4, 4, 2, 2] [1, 62, 1593, 21274] True
5 29 [4, 5, 5, 2, 3, 2, 2, 4, 2] [1, 62, 1593, 21274] True
5 29 [2, 4, 1, 4, 5, 5, 2, 4, 2] [1, 62, 1593, 21274] True
5 30 [3, 5, 2, 5, 4, 5, 2, 2, 2] [1, 62, 1593, 21274] True
6 24 [2, 3, 3, 3, 2, 3, 3, 3, 2] [1, 62, 1593, 21275] False
6 26 [3, 2, 4, 4, 2, 3, 4, 1, 3] [1, 62, 1593, 21274] True
6 26 [5, 3, 4, 2, 1, 3, 3, 3, 2] [1, 62, 1593, 21274] True
6 27 [4, 3, 3, 4, 2, 2, 3, 1, 5] [1, 62, 1593, 21274] True
6 27 [1, 4, 2, 2, 5, 4, 3, 3, 3] [1, 62, 1593, 21274] True
6 27 [3, 3, 4, 1, 5, 2, 4, 0, 5] [1, 62, 1593, 21274] True
6 27 [4, 2, 2, 3, 3, 4, 4, 3, 2] [1, 62, 1593, 21274] True
6 27 [4, 3, 3, 2, 4, 4, 2, 3, 2] [1, 62, 1593, 21274] True
6 27 [3, 1, 3, 4, 4, 4, 4, 2, 2] [1, 62, 1593, 21274] True
6 27 [4, 3, 3, 2, 1, 3, 5, 4, 2] [1, 62, 1593, 21274] True
6 27 [2, 4, 3, 4, 4, 2, 3, 2, 3] [1, 62, 1593, 21274] True
6 27 [3, 2, 4, 4, 2, 3, 4, 3, 2] [1, 62, 1593, 21274] True
6 27 [4, 3, 3, 4, 4, 1, 2, 5, 1] [1, 62, 1593, 21274] True
6 27 [4, 3, 2, 1, 4, 3, 4, 2, 4] [1, 62, 1593, 21274] True
6 27 [5, 0, 2, 4, 3, 4, 1, 4, 4] [1, 62, 1593, 21274] True
6 27 [3, 2, 4, 4, 2, 2, 3, 3, 4] [1, 62, 1593, 21274] True
6 27 [4, 2, 3, 4, 4, 2, 3, 2, 3] [1, 62, 1593, 21274] True
6 27 [3, 2, 2, 4, 2, 3, 4, 4, 3] [1, 62, 1593, 21274] True
6 27 [3, 5, 3, 1, 3, 4, 2, 2, 4] [1, 62, 1593, 21274] True
6 28 [3, 5, 0, 4, 4, 5, 2, 3, 2] [1, 62, 1593, 21274] True
6 28 [4, 4, 2, 2, 1, 3, 4, 4, 4] [1, 62, 1593, 21274] True
6 28 [3, 2, 4, 5, 3, 2, 4, 3, 2] [1, 62, 1593, 21274] True
6 28 [4, 3, 3, 4, 2, 2, 4, 4, 2] [1, 62, 1593, 21274] True
6 28 [4, 2, 2, 3, 4, 5, 4, 3, 1] [1, 62, 1593, 21274] True
6 28 [3, 1, 4, 5, 3, 4, 4, 2, 2] [1, 62, 1593, 21274] True
6 28 [4, 2, 4, 4, 4, 3, 1, 2, 4] [1, 62, 1593, 21274] True
6 28 [3, 2, 4, 2, 4, 4, 3, 4, 2] [1, 62, 1593, 21274] True
