{'r': 4, 'trial': 0, 'family': 'random', 'H': [1, 59, 1410, 16683], 'T': [1, 59, 1410, 16683], 'excess': [0, 0, 0, 0]}
{'r': 4, 'trial': 1, 'family': 'random', 'H': [1, 59, 1410, 16683], 'T': [1, 59, 1410, 16683], 'excess': [0, 0, 0, 0]}
{'r': 8, 'trial': 0, 'family': 'random', 'H': [1, 55, 1180, 11397], 'T': [1, 55, 1180, 11397], 'excess': [0, 0, 0, 0]}
{'r': 8, 'trial': 1, 'family': 'random', 'H': [1, 55, 1180, 11397], 'T': [1, 55, 1180, 11397], 'excess': [0, 0, 0, 0]}
{'r': 12, 'trial': 0, 'family': 'random', 'H': [1, 51, 966, 7007], 'T': [1, 51, 966, 7007], 'excess': [0, 0, 0, 0]}
{'r': 12, 'trial': 1, 'family': 'random', 'H': [1, 51, 966, 7007], 'T': [1, 51, 966, 7007], 'excess': [0, 0, 0, 0]}
{'r': 16, 'trial': 0, 'family': 'random', 'H': [1, 47, 768, 3449], 'T': [1, 47, 768, 3449], 'excess': [0, 0, 0, 0]}
{'r': 16, 'trial': 1, 'family': 'random', 'H': [1, 47, 768, 3449], 'T': [1, 47, 768, 3449], 'excess': [0, 0, 0, 0]}
{'r': 19, 'trial': 0, 'family': 'random', 'H': [1, 44, 630, 1288], 'T': [1, 44, 630, 1288], 'excess': [0, 0, 0, 0]}
{'r': 19, 'trial': 1, 'family': 'random', 'H': [1, 44, 630, 1288], 'T': [1, 44, 630, 1288], 'excess': [0, 0, 0, 0]}
{'r': 20, 'trial': 0, 'family': 'random', 'H': [1, 43, 586, 659], 'T': [1, 43, 586, 659], 'excess': [0, 0, 0, 0]}
{'r': 20, 'trial': 1, 'family': 'random', 'H': [1, 43, 586, 659], 'T': [1, 43, 586, 659], 'excess': [0, 0, 0, 0]}
{'r': 21, 'trial': 0, 'family': 'random', 'H': [1, 42, 543, 74], 'T': [1, 42, 543, 74], 'excess': [0, 0, 0, 0]}
{'r': 21, 'trial': 1, 'family': 'random', 'H': [1, 42, 543, 75], 'T': [1, 42, 543, 74], 'excess': [0, 0, 0, 1]}
{'r': 22, 'trial': 0, 'family': 'random', 'H': [1, 41, 501, 0], 'T': [1, 41, 501, 0], 'excess': [0, 0, 0, 0]}
{'r': 22, 'trial': 1, 'family': 'random', 'H': [1, 41, 501, 0], 'T': [1, 41, 501, 0], 'excess': [0, 0, 0, 0]}
