P4: t = 1, subsets 4, max member basis degree 5, lowest_fall=6, 0 s
P4: t = 2, subsets 6, max member basis degree 5, lowest_fall=-1, 0 s
P4: t = 3, subsets 4, max member basis degree 5, lowest_fall=-1, 0 s
P4: t = 4, subsets 1, max member basis degree 5, lowest_fall=-1, 0 s
P4w: t = 1, subsets 4, max member basis degree 5, lowest_fall=6, 0 s
P4w: t = 2, subsets 6, max member basis degree 5, lowest_fall=-1, 0 s
P4w: t = 3, subsets 4, max member basis degree 5, lowest_fall=-1, 0 s
P4w: t = 4, subsets 1, max member basis degree 5, lowest_fall=-1, 0 s
P6: t = 1, subsets 6, max member basis degree 5, lowest_fall=6, 0 s
P6: t = 2, subsets 15, max member basis degree 5, lowest_fall=-1, 0 s
P6: t = 3, subsets 20, max member basis degree 7, lowest_fall=-1, 0 s
P6: t = 4, subsets 15, max member basis degree 7, lowest_fall=-1, 0 s
P6: t = 5, subsets 6, max member basis degree 7, lowest_fall=-1, 0 s
P6: t = 6, subsets 1, max member basis degree 7, lowest_fall=-1, 0 s
H3: t = 1, subsets 8, max member basis degree 5, lowest_fall=6, 0 s
H3: t = 2, subsets 28, max member basis degree 7, lowest_fall=8, 0 s
H3: t = 3, subsets 56, max member basis degree 9, lowest_fall=-1, 0 s
H3: t = 4, subsets 70, max member basis degree 9, lowest_fall=-1, 0 s
H3: t = 5, subsets 56, max member basis degree 9, lowest_fall=-1, 0 s
H3: t = 6, subsets 28, max member basis degree 9, lowest_fall=-1, 0 s
H3: t = 7, subsets 8, max member basis degree 9, lowest_fall=-1, 0 s
H3: t = 8, subsets 1, max member basis degree 9, lowest_fall=-1, 0 s
