family  covering_number  hub_criterion_t  measured_t
P4                    2                2           2
P4w                   2                2           2
P6                    3                2           2
H3                    4                3           3
A1w                   3                3           3
A2w                   3                3           3
T3                    4                4           4
D4                    6                5           5
D4w3                  5                4           4
PT6                   6                6           6
PT8                   8                6           6
