PT6: t = 1, subsets 6, max member basis degree 6, lowest_fall=7, 0 s
PT6: t = 2, subsets 15, max member basis degree 7, lowest_fall=8, 0 s
PT6: t = 3, subsets 20, max member basis degree 9, lowest_fall=10, 0 s
PT6: t = 4, subsets 15, max member basis degree 10, lowest_fall=13, 0 s
PT6: t = 5, subsets 6, max member basis degree 10, lowest_fall=13, 0 s
PT6: t = 6, subsets 1, max member basis degree 13, lowest_fall=-1, 0 s
PT8: t = 1, subsets 8, max member basis degree 6, lowest_fall=7, 0 s
PT8: t = 2, subsets 28, max member basis degree 7, lowest_fall=8, 0 s
PT8: t = 3, subsets 56, max member basis degree 9, lowest_fall=10, 0 s
PT8: t = 4, subsets 70, max member basis degree 10, lowest_fall=13, 0 s
PT8: t = 5, subsets 56, max member basis degree 10, lowest_fall=13, 0 s
PT8: t = 6, subsets 28, max member basis degree 14, lowest_fall=-1, 0 s
PT8: t = 7, subsets 8, max member basis degree 14, lowest_fall=-1, 0 s
PT8: t = 8, subsets 1, max member basis degree 14, lowest_fall=-1, 0 s
