{'mode': 'full', 'kind': 'generic', 'rows': 3, 'labels': 6, 'seed': 1, 'width': 3, 'robustness': 0, 'rank_lambda': 47, 'dim_sym': 79, 'onto': False}
{'mode': 'full', 'kind': 'generic', 'rows': 3, 'labels': 6, 'seed': 2, 'width': 3, 'robustness': 0, 'rank_lambda': 46, 'dim_sym': 79, 'onto': False}
{'mode': 'full', 'kind': 'generic', 'rows': 4, 'labels': 6, 'seed': 1, 'width': 4, 'robustness': 0, 'rank_lambda': 109, 'dim_sym': 109, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 4, 'labels': 6, 'seed': 2, 'width': 4, 'robustness': 0, 'rank_lambda': 109, 'dim_sym': 109, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 5, 'labels': 6, 'seed': 1, 'width': 5, 'robustness': 0, 'rank_lambda': 139, 'dim_sym': 139, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 5, 'labels': 6, 'seed': 2, 'width': 5, 'robustness': 0, 'rank_lambda': 139, 'dim_sym': 139, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 6, 'labels': 6, 'seed': 1, 'width': 6, 'robustness': 0, 'rank_lambda': 169, 'dim_sym': 169, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 6, 'labels': 6, 'seed': 2, 'width': 5, 'robustness': 0, 'rank_lambda': 169, 'dim_sym': 169, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 7, 'labels': 6, 'seed': 1, 'width': 7, 'robustness': 0, 'rank_lambda': 199, 'dim_sym': 199, 'onto': True}
{'mode': 'full', 'kind': 'generic', 'rows': 7, 'labels': 6, 'seed': 2, 'width': 6, 'robustness': 0, 'rank_lambda': 199, 'dim_sym': 199, 'onto': True}
{'mode': 'full', 'kind': 'rowdep', 'rows': 3, 'labels': 6, 'seed': 1, 'width': 1, 'robustness': 0, 'rank_lambda': 36, 'dim_sym': 79, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 3, 'labels': 6, 'seed': 2, 'width': 2, 'robustness': 0, 'rank_lambda': 39, 'dim_sym': 79, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 4, 'labels': 6, 'seed': 1, 'width': 2, 'robustness': 0, 'rank_lambda': 95, 'dim_sym': 109, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 4, 'labels': 6, 'seed': 2, 'width': 2, 'robustness': 0, 'rank_lambda': 94, 'dim_sym': 109, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 5, 'labels': 6, 'seed': 1, 'width': 3, 'robustness': 0, 'rank_lambda': 138, 'dim_sym': 139, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 5, 'labels': 6, 'seed': 2, 'width': 3, 'robustness': 0, 'rank_lambda': 138, 'dim_sym': 139, 'onto': False}
{'mode': 'full', 'kind': 'rowdep', 'rows': 6, 'labels': 6, 'seed': 1, 'width': 4, 'robustness': 0, 'rank_lambda': 169, 'dim_sym': 169, 'onto': True}
{'mode': 'full', 'kind': 'rowdep', 'rows': 6, 'labels': 6, 'seed': 2, 'width': 4, 'robustness': 0, 'rank_lambda': 169, 'dim_sym': 169, 'onto': True}
{'mode': 'full', 'kind': 'rowdep', 'rows': 7, 'labels': 6, 'seed': 1, 'width': 5, 'robustness': 0, 'rank_lambda': 199, 'dim_sym': 199, 'onto': True}
