{'t': 2, 'N': 2, 'dim': 0, 'delta': -1, 'equal': False, 'predicted': False}
{'t': 2, 'N': 3, 'dim': 1, 'delta': 1, 'equal': True, 'predicted': True}
{'t': 2, 'N': 4, 'dim': 5, 'delta': 5, 'equal': True, 'predicted': True}
{'t': 2, 'N': 5, 'dim': 11, 'delta': 11, 'equal': True, 'predicted': True}
{'t': 2, 'N': 6, 'dim': 19, 'delta': 19, 'equal': True, 'predicted': True}
{'t': 3, 'N': 3, 'dim': 0, 'delta': -4, 'equal': False, 'predicted': False}
{'t': 3, 'N': 4, 'dim': 1, 'delta': -1, 'equal': False, 'predicted': False}
{'t': 3, 'N': 5, 'dim': 14, 'delta': 14, 'equal': True, 'predicted': True}
{'t': 3, 'N': 6, 'dim': 47, 'delta': 47, 'equal': True, 'predicted': True}
{'t': 3, 'N': 7, 'dim': 104, 'delta': 104, 'equal': True, 'predicted': True}
{'t': 3, 'N': 8, 'dim': 191, 'delta': 191, 'equal': True, 'predicted': True}
{'t': 4, 'N': 4, 'dim': 0, 'delta': -15, 'equal': False, 'predicted': False}
{'t': 4, 'N': 5, 'dim': 1, 'delta': -19, 'equal': False, 'predicted': False}
{'t': 4, 'N': 6, 'dim': 42, 'delta': 37, 'equal': False, 'predicted': False}
{'t': 4, 'N': 7, 'dim': 225, 'delta': 225, 'equal': True, 'predicted': True}
{'t': 4, 'N': 8, 'dim': 641, 'delta': 641, 'equal': True, 'predicted': True}
