{'v': 4, 'trial': 0, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [9], 'support_span': [4], 'base_points_available': 5, 'girth': 3}
{'v': 4, 'trial': 1, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [8], 'support_span': [4], 'base_points_available': 5, 'girth': 3}
{'v': 4, 'trial': 2, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [8], 'support_span': [4], 'base_points_available': 5, 'girth': 3}
{'v': 5, 'trial': 0, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [10], 'support_span': [5], 'base_points_available': 27, 'girth': 3}
{'v': 5, 'trial': 1, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [10], 'support_span': [5], 'base_points_available': 3, 'girth': 4}
{'v': 5, 'trial': 2, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [8], 'support_span': [4], 'base_points_available': 15, 'girth': 4}
{'v': 6, 'trial': 0, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [14], 'support_span': [6], 'base_points_available': 66, 'girth': None}
{'v': 6, 'trial': 1, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [14], 'support_span': [6], 'base_points_available': 51, 'girth': None}
{'v': 6, 'trial': 2, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [14], 'support_span': [6], 'base_points_available': 33, 'girth': None}
{'v': 7, 'trial': 0, 'm': 27, 'W2': 1, 'dependency_dim': 1, 'support': [18], 'support_span': [7], 'base_points_available': 113, 'girth': None}
{'v': 7, 'trial': 1, 'm': 27, 'W2': 1, 'dependency_dim': 1, 'support': [14], 'support_span': [7], 'base_points_available': 122, 'girth': None}
{'v': 7, 'trial': 2, 'm': 27, 'W2': 1, 'dependency_dim': 1, 'support': [19], 'support_span': [7], 'base_points_available': 122, 'girth': None}
