{'v': 3, 'trial': 0, 'm': 5, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 1, 'girth': 3}
{'v': 3, 'trial': 1, 'm': 5, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 1, 'girth': 3}
{'v': 3, 'trial': 2, 'm': 5, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 1, 'girth': 3}
{'v': 4, 'trial': 0, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 4, 'girth': 3}
{'v': 4, 'trial': 1, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 8, 'girth': 3}
{'v': 4, 'trial': 2, 'm': 9, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 8, 'girth': 3}
{'v': 5, 'trial': 0, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [6], 'support_span': [3], 'base_points_available': 18, 'girth': 3}
{'v': 5, 'trial': 1, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [4], 'support_span': [2], 'base_points_available': 18, 'girth': 3}
{'v': 5, 'trial': 2, 'm': 14, 'W2': 1, 'dependency_dim': 1, 'support': [7], 'support_span': [3], 'base_points_available': 24, 'girth': 3}
{'v': 6, 'trial': 0, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [8], 'support_span': [4], 'base_points_available': 51, 'girth': None}
{'v': 6, 'trial': 1, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [8], 'support_span': [4], 'base_points_available': 63, 'girth': None}
{'v': 6, 'trial': 2, 'm': 20, 'W2': 1, 'dependency_dim': 1, 'support': [12], 'support_span': [6], 'base_points_available': 63, 'girth': None}
