{'R': 7, 'N': 6, 'seed': 1, 'M': 2, 'jointly_full': True, 'd': {1: (2, None, 2, 2, 0), 2: (69, None, 69, 69, 0), 3: (761, None, 761, 761, 0)}, 'sec': 25}
{'R': 7, 'N': 6, 'seed': 1, 'M': 3, 'jointly_full': True, 'd': {1: (3, None, 3, 3, 0), 2: (102, None, 102, 102, 0), 3: (1090, None, 1090, 1090, 0)}, 'sec': 61}
{'R': 7, 'N': 6, 'seed': 1, 'M': 4, 'jointly_full': False, 'd': {1: (4, None, 4, 4, 0), 2: (134, None, 134, 134, 0), 3: (1386, None, 1386, 1386, 0)}, 'sec': 110}
{'R': 7, 'N': 6, 'seed': 1, 'M': 5, 'jointly_full': False, 'd': {1: (5, None, 5, 5, 0), 2: (165, None, 165, 165, 0), 3: (1645, 1650, 1650, 1650, 0)}, 'sec': 174}
{'R': 7, 'N': 6, 'seed': 1, 'M': 6, 'jointly_full': False, 'd': {1: (6, None, 6, 6, 0), 2: (195, None, 195, 195, 0), 3: (1645, 1882, 1883, 1883, 0)}, 'sec': 253}
{'R': 7, 'N': 6, 'seed': 1, 'M': 7, 'jointly_full': False, 'd': {1: (7, None, 7, 7, 0), 2: (224, None, 224, 224, 0), 3: (1645, 2085, 2086, 2086, 0)}, 'sec': 348}
{'R': 7, 'N': 6, 'seed': 2, 'M': 2, 'jointly_full': True, 'd': {1: (2, None, 2, 2, 0), 2: (69, None, 69, 69, 0), 3: (761, None, 761, 761, 0)}, 'sec': 24}
{'R': 7, 'N': 6, 'seed': 2, 'M': 3, 'jointly_full': False, 'd': {1: (3, None, 3, 3, 0), 2: (102, None, 102, 102, 0), 3: (1090, None, 1090, 1090, 0)}, 'sec': 61}
{'R': 7, 'N': 6, 'seed': 2, 'M': 4, 'jointly_full': False, 'd': {1: (4, None, 4, 4, 0), 2: (134, None, 134, 134, 0), 3: (1386, None, 1386, 1386, 0)}, 'sec': 110}
{'R': 7, 'N': 6, 'seed': 2, 'M': 5, 'jointly_full': False, 'd': {1: (5, None, 5, 5, 0), 2: (165, None, 165, 165, 0), 3: (1623, 1650, 1650, 1650, 0)}, 'sec': 174}
{'R': 7, 'N': 6, 'seed': 2, 'M': 6, 'jointly_full': False, 'd': {1: (6, None, 6, 6, 0), 2: (195, None, 195, 195, 0), 3: (1645, 1883, 1883, 1883, 0)}, 'sec': 253}
{'R': 7, 'N': 6, 'seed': 2, 'M': 7, 'jointly_full': False, 'd': {1: (7, None, 7, 7, 0), 2: (224, None, 224, 224, 0), 3: (1645, 2085, 2086, 2086, 0)}, 'sec': 349}
