N=6 d=4 k=3 s=21 dimA=1330 q=238 w'=28 good=28
{'h': 2, 'kind': 'square', 'trial': 0, 'beta': 39, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 2, 'kind': 'square', 'trial': 1, 'beta': 40, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 2, 'kind': 'generic', 'trial': 0, 'beta': 42, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 2, 'kind': 'generic', 'trial': 1, 'beta': 42, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 2, 'kind': 'randomW', 'trial': 0, 'beta': 40, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 2, 'kind': 'randomW', 'trial': 1, 'beta': 40, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'square', 'trial': 0, 'beta': 80, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'square', 'trial': 1, 'beta': 80, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'generic', 'trial': 0, 'beta': 84, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'generic', 'trial': 1, 'beta': 84, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'randomW', 'trial': 0, 'beta': 80, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'randomW', 'trial': 1, 'beta': 80, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'square', 'trial': 0, 'beta': 120, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'square', 'trial': 1, 'beta': 120, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'generic', 'trial': 0, 'beta': 126, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'generic', 'trial': 1, 'beta': 126, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'randomW', 'trial': 0, 'beta': 120, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 6, 'kind': 'randomW', 'trial': 1, 'beta': 120, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'square', 'trial': 0, 'beta': 160, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'square', 'trial': 1, 'beta': 160, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'generic', 'trial': 0, 'beta': 168, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'generic', 'trial': 1, 'beta': 168, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'randomW', 'trial': 0, 'beta': 160, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'randomW', 'trial': 1, 'beta': 160, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 0, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 1, 'beta': 197, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 0, 'beta': 210, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 1, 'beta': 210, 'w_image': 28, 'actual': 1, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 0, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 1, 'beta': 196, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 12, 'kind': 'square', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'square', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'randomW', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'randomW', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
N=8 d=4 k=3 s=27 dimA=2925 q=969 w'=181 good=181
{'h': 4, 'kind': 'square', 'trial': 0, 'beta': 104, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'square', 'trial': 1, 'beta': 104, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'generic', 'trial': 0, 'beta': 108, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'generic', 'trial': 1, 'beta': 108, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'randomW', 'trial': 0, 'beta': 104, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 4, 'kind': 'randomW', 'trial': 1, 'beta': 104, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'square', 'trial': 0, 'beta': 208, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'square', 'trial': 1, 'beta': 208, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 8, 'kind': 'generic', 'trial': 0, 'beta': 216, 'w_image': 181, 'actual': 0, 'predicted': 0}
