N6d4k3 {'N': 6, 'd': 4, 'k': 3, 'seed': 1, 's': 21, 'matching_monomials': 539, 'q': 238, 'w_image': 28, 'good': 28, 'multipliers': 21, 'h_sweep': [9, 10, 11, 12, 13, 14]}
N8d4k3 {'N': 8, 'd': 4, 'k': 3, 'seed': 2, 's': 27, 'matching_monomials': 1577, 'q': 969, 'w_image': 181, 'good': 181, 'multipliers': 27, 'h_sweep': [28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]}
N8d4k4 {'N': 8, 'd': 4, 'k': 4, 'seed': 5, 's': 27, 'matching_monomials': 4292, 'q': 1014, 'w_image': 84, 'good': 84, 'multipliers': 285, 'h_sweep': [2, 3, 4, 5]}
N9d4k4 {'N': 9, 'd': 4, 'k': 4, 'seed': 6, 's': 30, 'matching_monomials': 6738, 'q': 2678, 'w_image': 468, 'good': 468, 'multipliers': 353, 'h_sweep': [5, 6, 7, 8, 9]}
jobs 357
{'config': 'N6d4k3', 'h': 10, 'kind': 'generic', 'trial': 1, 'beta': 210, 'w_image': 28, 'actual': 1, 'predicted': 0}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 0, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 1, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 2, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 3, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 4, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'square', 'trial': 5, 'beta': 219, 'w_image': 28, 'actual': 9, 'predicted': 9}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 0, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 1, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 2, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 3, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 4, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'generic', 'trial': 5, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 0, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 1, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 2, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 3, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 4, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'config': 'N6d4k3', 'h': 11, 'kind': 'randomW', 'trial': 5, 'beta': 219, 'w_image': 28, 'actual': 9, 'predicted': 9}
{'config': 'N6d4k3', 'h': 12, 'kind': 'square', 'trial': 1, 'beta': 236, 'w_image': 28, 'actual': 26, 'predicted': 26}
{'config': 'N8d4k3', 'h': 30, 'kind': 'generic', 'trial': 0, 'beta': 810, 'w_image': 181, 'actual': 22, 'predicted': 22}
{'config': 'N8d4k3', 'h': 30, 'kind': 'generic', 'trial': 1, 'beta': 810, 'w_image': 181, 'actual': 22, 'predicted': 22}
{'config': 'N8d4k3', 'h': 30, 'kind': 'generic', 'trial': 2, 'beta': 810, 'w_image': 181, 'actual': 22, 'predicted': 22}
{'config': 'N8d4k3', 'h': 30, 'kind': 'generic', 'trial': 3, 'beta': 810, 'w_image': 181, 'actual': 22, 'predicted': 22}
{'config': 'N8d4k3', 'h': 31, 'kind': 'square', 'trial': 0, 'beta': 806, 'w_image': 181, 'actual': 18, 'predicted': 18}
{'config': 'N8d4k3', 'h': 31, 'kind': 'square', 'trial': 1, 'beta': 806, 'w_image': 181, 'actual': 18, 'predicted': 18}
