N=6 d=4 k=3 s=21 dimA=1330 q=238 w'=28 good=28
auto sweep h = [9, 10, 11, 12, 13, 14]
{'h': 9, 'kind': 'square', 'trial': 0, 'beta': 179, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'square', 'trial': 1, 'beta': 177, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'square', 'trial': 2, 'beta': 180, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'square', 'trial': 3, 'beta': 180, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'generic', 'trial': 0, 'beta': 189, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'generic', 'trial': 1, 'beta': 189, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'generic', 'trial': 2, 'beta': 189, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'generic', 'trial': 3, 'beta': 189, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'randomW', 'trial': 0, 'beta': 180, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'randomW', 'trial': 1, 'beta': 179, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'randomW', 'trial': 2, 'beta': 180, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 9, 'kind': 'randomW', 'trial': 3, 'beta': 180, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 0, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 1, 'beta': 199, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 2, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'square', 'trial': 3, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 0, 'beta': 210, 'w_image': 28, 'actual': 1, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 1, 'beta': 210, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 2, 'beta': 210, 'w_image': 28, 'actual': 1, 'predicted': 0}
{'h': 10, 'kind': 'generic', 'trial': 3, 'beta': 210, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 0, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 1, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 2, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 10, 'kind': 'randomW', 'trial': 3, 'beta': 200, 'w_image': 28, 'actual': 0, 'predicted': 0}
{'h': 11, 'kind': 'square', 'trial': 0, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'h': 11, 'kind': 'square', 'trial': 1, 'beta': 218, 'w_image': 28, 'actual': 8, 'predicted': 8}
{'h': 11, 'kind': 'square', 'trial': 2, 'beta': 219, 'w_image': 28, 'actual': 9, 'predicted': 9}
{'h': 11, 'kind': 'square', 'trial': 3, 'beta': 219, 'w_image': 28, 'actual': 9, 'predicted': 9}
{'h': 11, 'kind': 'generic', 'trial': 0, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'h': 11, 'kind': 'generic', 'trial': 1, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'h': 11, 'kind': 'generic', 'trial': 2, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'h': 11, 'kind': 'generic', 'trial': 3, 'beta': 231, 'w_image': 28, 'actual': 21, 'predicted': 21}
{'h': 11, 'kind': 'randomW', 'trial': 0, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'h': 11, 'kind': 'randomW', 'trial': 1, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'h': 11, 'kind': 'randomW', 'trial': 2, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'h': 11, 'kind': 'randomW', 'trial': 3, 'beta': 220, 'w_image': 28, 'actual': 10, 'predicted': 10}
{'h': 12, 'kind': 'square', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'square', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'square', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'square', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'generic', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'randomW', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'randomW', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 12, 'kind': 'randomW', 'trial': 2, 'beta': 237, 'w_image': 28, 'actual': 27, 'predicted': 27}
{'h': 12, 'kind': 'randomW', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'square', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'square', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'square', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'square', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'generic', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'generic', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'generic', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'generic', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'randomW', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'randomW', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'randomW', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 13, 'kind': 'randomW', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'square', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'square', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'square', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'square', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'generic', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'generic', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'generic', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'generic', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'randomW', 'trial': 0, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'randomW', 'trial': 1, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'randomW', 'trial': 2, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
{'h': 14, 'kind': 'randomW', 'trial': 3, 'beta': 238, 'w_image': 28, 'actual': 28, 'predicted': 28}
N=8 d=4 k=3 s=27 dimA=2925 q=969 w'=181 good=181
auto sweep h = [28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]
{'h': 28, 'kind': 'square', 'trial': 0, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'square', 'trial': 1, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'square', 'trial': 2, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'generic', 'trial': 0, 'beta': 756, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'generic', 'trial': 1, 'beta': 756, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'generic', 'trial': 2, 'beta': 756, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'randomW', 'trial': 0, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'randomW', 'trial': 1, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 28, 'kind': 'randomW', 'trial': 2, 'beta': 728, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'square', 'trial': 0, 'beta': 754, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'square', 'trial': 1, 'beta': 754, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'square', 'trial': 2, 'beta': 754, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'generic', 'trial': 0, 'beta': 783, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'generic', 'trial': 1, 'beta': 783, 'w_image': 181, 'actual': 0, 'predicted': 0}
{'h': 29, 'kind': 'generic', 'trial': 2, 'beta': 783, 'w_image': 181, 'actual': 0, 'predicted': 0}
