r3d8pc 4 jobs; columns 46121
  11664 cols, round 1: dim 6 -> 63
  11664 cols, round 1: dim 6 -> 63
  11664 cols, round 1: dim 6 -> 63
  11664 cols, round 1: dim 6 -> 65
  11664 cols, round 2: dim 63 -> 333
  11664 cols, round 2: dim 63 -> 331
  11664 cols, round 2: dim 63 -> 331
  11664 cols, round 2: dim 65 -> 348
  11664 cols, round 3: dim 333 -> 1167
  11664 cols, round 3: dim 331 -> 1163
  11664 cols, round 3: dim 331 -> 1158
  11664 cols, round 3: dim 348 -> 1229
  11664 cols, round 4: dim 1163 -> 2485
  11664 cols, round 4: dim 1158 -> 2566
  11664 cols, round 4: dim 1167 -> 2604
  11664 cols, round 4: dim 1229 -> 2711
  11664 cols, round 5: dim 2604 -> 4565
  11664 cols, round 5: dim 2566 -> 4650
  11664 cols, round 5: dim 2485 -> 4472
  11664 cols, round 5: dim 2711 -> 4883
  11664 cols, round 6: dim 4650 -> 5814
  11664 cols, round 6: dim 4472 -> 5745
  11664 cols, round 6: dim 4565 -> 5908
  11664 cols, round 6: dim 4883 -> 6230
  11664 cols, round 7: dim 5814 -> 6462
  11664 cols, round 7: dim 5745 -> 6048
  11664 cols, round 7: dim 5908 -> 6479
  11664 cols, round 7: dim 6230 -> 6643
  11664 cols, round 8: dim 6048 -> 6139
  11664 cols, round 8: dim 6462 -> 6629
  11664 cols, round 8: dim 6479 -> 6510
  11664 cols, round 8: dim 6643 -> 6684
  11664 cols, round 9: dim 6139 -> 6139
  46121 cols, round 1: dim 8 -> 101
  11664 cols, round 9: dim 6629 -> 6629
  46121 cols, round 2: dim 101 -> 646
  46121 cols, round 1: dim 8 -> 100
  46121 cols, round 2: dim 100 -> 634
  11664 cols, round 9: dim 6510 -> 6510
  46121 cols, round 1: dim 8 -> 100
  46121 cols, round 2: dim 100 -> 636
  46121 cols, round 3: dim 646 -> 2760
  11664 cols, round 9: dim 6684 -> 6684
  46121 cols, round 3: dim 634 -> 2690
  46121 cols, round 1: dim 8 -> 102
  46121 cols, round 2: dim 102 -> 655
  46121 cols, round 3: dim 636 -> 2699
  46121 cols, round 3: dim 655 -> 2791
  46121 cols, round 4: dim 2760 -> 6765
  46121 cols, round 4: dim 2690 -> 6746
  46121 cols, round 4: dim 2699 -> 6821
  46121 cols, round 4: dim 2791 -> 6980
  46121 cols, round 5: dim 6746 -> 15077
  46121 cols, round 5: dim 6765 -> 14783
  46121 cols, round 5: dim 6821 -> 14517
  46121 cols, round 5: dim 6980 -> 15149
  46121 cols, round 6: dim 15077 -> 20735
  46121 cols, round 6: dim 14517 -> 20899
  46121 cols, round 6: dim 14783 -> 21560
  46121 cols, round 6: dim 15149 -> 21412
  46121 cols, round 7: dim 21412 -> 22904
  46121 cols, round 7: dim 20899 -> 23553
  46121 cols, round 7: dim 21560 -> 23559
  46121 cols, round 7: dim 20735 -> 25299
  46121 cols, round 8: dim 22904 -> 23137
  46121 cols, round 8: dim 23553 -> 24025
  46121 cols, round 8: dim 23559 -> 24586
  46121 cols, round 8: dim 25299 -> 26282
  46121 cols, round 9: dim 23137 -> 23137
{'name': 'r3v5-random-s1', 'D': 8, 'cols_full': 46121, 'dim_base': 6684, 'dim_existing_after': 6684, 'conservative': True, 'one_in_full': False, 'seconds': 3415.54}
  46121 cols, round 9: dim 24025 -> 24025
  46121 cols, round 9: dim 24586 -> 24586
{'name': 'r3v5-random-s4', 'D': 8, 'cols_full': 46121, 'dim_base': 6510, 'dim_existing_after': 6510, 'conservative': True, 'one_in_full': False, 'seconds': 3533.54}
{'name': 'r3v5-random-s5', 'D': 8, 'cols_full': 46121, 'dim_base': 6139, 'dim_existing_after': 6139, 'conservative': True, 'one_in_full': False, 'seconds': 3544.85}
  46121 cols, round 9: dim 26282 -> 26282
{'name': 'r3v5-random-s2', 'D': 8, 'cols_full': 46121, 'dim_base': 6629, 'dim_existing_after': 6629, 'conservative': True, 'one_in_full': False, 'seconds': 3669.08}
