r3d6 12 jobs; columns 19241
{'name': 'r3v5-random-s3', 'D': 6, 'cols_full': 19241, 'dim_base': 1163, 'dim_existing_after': 1163, 'conservative': True, 'one_in_full': False, 'seconds': 11.84}
{'name': 'r3v5-random-s1', 'D': 6, 'cols_full': 19241, 'dim_base': 1342, 'dim_existing_after': 1342, 'conservative': True, 'one_in_full': False, 'seconds': 15.28}
{'name': 'r3v5-random-s2', 'D': 6, 'cols_full': 19241, 'dim_base': 1261, 'dim_existing_after': 1265, 'conservative': False, 'one_in_full': False, 'seconds': 15.6}
{'name': 'r3v5-random-s0', 'D': 6, 'cols_full': 19241, 'dim_base': 1539, 'dim_existing_after': 1539, 'conservative': True, 'one_in_full': False, 'seconds': 18.6}
{'name': 'r3v6-random-s1', 'D': 6, 'cols_full': 26584, 'dim_base': 928, 'dim_existing_after': 931, 'conservative': False, 'one_in_full': False, 'seconds': 10.8}
{'name': 'r3v6-random-s0', 'D': 6, 'cols_full': 26584, 'dim_base': 1172, 'dim_existing_after': 1177, 'conservative': False, 'one_in_full': False, 'seconds': 14.09}
{'name': 'r3v5-random-s5', 'D': 6, 'cols_full': 19241, 'dim_base': 1166, 'dim_existing_after': 1167, 'conservative': False, 'one_in_full': False, 'seconds': 16.57}
{'name': 'r3v5-random-s4', 'D': 6, 'cols_full': 19241, 'dim_base': 1274, 'dim_existing_after': 1274, 'conservative': True, 'one_in_full': False, 'seconds': 21.25}
{'name': 'r3v6-random-s3', 'D': 6, 'cols_full': 26584, 'dim_base': 960, 'dim_existing_after': 967, 'conservative': False, 'one_in_full': False, 'seconds': 11.9}
{'name': 'r3v6-random-s4', 'D': 6, 'cols_full': 26584, 'dim_base': 901, 'dim_existing_after': 916, 'conservative': False, 'one_in_full': False, 'seconds': 12.4}
{'name': 'r3v6-random-s2', 'D': 6, 'cols_full': 26584, 'dim_base': 1062, 'dim_existing_after': 1065, 'conservative': False, 'one_in_full': False, 'seconds': 19.5}
{'name': 'r3v6-random-s5', 'D': 6, 'cols_full': 26584, 'dim_base': 1284, 'dim_existing_after': 1294, 'conservative': False, 'one_in_full': False, 'seconds': 18.41}
