r3d7 5 jobs; columns 43100
  7774 cols, round 1: dim 6 -> 65
  7774 cols, round 1: dim 6 -> 63
  7774 cols, round 2: dim 65 -> 348
  7774 cols, round 2: dim 63 -> 331
  7774 cols, round 3: dim 331 -> 895
  7774 cols, round 3: dim 348 -> 955
  7774 cols, round 4: dim 895 -> 2028
  7774 cols, round 4: dim 955 -> 2117
  7774 cols, round 5: dim 2028 -> 2623
  7774 cols, round 5: dim 2117 -> 2884
  7774 cols, round 6: dim 2623 -> 3313
  7774 cols, round 6: dim 2884 -> 3462
  7774 cols, round 7: dim 3313 -> 3378
  7774 cols, round 7: dim 3462 -> 3489
  7774 cols, round 8: dim 3378 -> 3378
  7774 cols, round 8: dim 3489 -> 3489
  43100 cols, round 1: dim 9 -> 122
  43100 cols, round 1: dim 9 -> 124
  43100 cols, round 2: dim 122 -> 841
  43100 cols, round 2: dim 124 -> 861
  43100 cols, round 3: dim 841 -> 2553
  43100 cols, round 3: dim 861 -> 2636
  43100 cols, round 4: dim 2553 -> 7671
  43100 cols, round 4: dim 2636 -> 7560
  43100 cols, round 5: dim 7671 -> 10777
  43100 cols, round 5: dim 7560 -> 11311
  43100 cols, round 6: dim 10777 -> 15709
  43100 cols, round 6: dim 11311 -> 15099
  43100 cols, round 7: dim 15099 -> 15201
  43100 cols, round 7: dim 15709 -> 16324
  43100 cols, round 8: dim 15201 -> 15201
  43100 cols, round 8: dim 16324 -> 16324
{'name': 'r3v5-random-s1', 'D': 7, 'cols_full': 43100, 'dim_base': 3489, 'dim_existing_after': 3489, 'conservative': True, 'one_in_full': False, 'seconds': 303.82}
  7774 cols, round 1: dim 6 -> 63
  7774 cols, round 2: dim 63 -> 331
  7774 cols, round 3: dim 331 -> 844
  7774 cols, round 4: dim 844 -> 1889
  7774 cols, round 5: dim 1889 -> 2538
  7774 cols, round 6: dim 2538 -> 3112
{'name': 'r3v5-random-s2', 'D': 7, 'cols_full': 43100, 'dim_base': 3378, 'dim_existing_after': 3378, 'conservative': True, 'one_in_full': False, 'seconds': 305.98}
  12286 cols, round 1: dim 6 -> 69
  12286 cols, round 2: dim 69 -> 396
  12286 cols, round 3: dim 396 -> 999
  7774 cols, round 7: dim 3112 -> 3112
  12286 cols, round 4: dim 999 -> 2081
  43100 cols, round 1: dim 9 -> 123
  43100 cols, round 2: dim 123 -> 851
  12286 cols, round 5: dim 2081 -> 3430
  43100 cols, round 3: dim 851 -> 2468
  12286 cols, round 6: dim 3430 -> 3791
  12286 cols, round 7: dim 3791 -> 3893
  12286 cols, round 8: dim 3893 -> 3893
  62341 cols, round 1: dim 9 -> 130
  62341 cols, round 2: dim 130 -> 950
  43100 cols, round 4: dim 2468 -> 7291
  62341 cols, round 3: dim 950 -> 2584
  62341 cols, round 4: dim 2584 -> 6245
  43100 cols, round 5: dim 7291 -> 11269
  62341 cols, round 5: dim 6245 -> 11678
  43100 cols, round 6: dim 11269 -> 15629
  62341 cols, round 6: dim 11678 -> 14035
  43100 cols, round 7: dim 15629 -> 15745
  62341 cols, round 7: dim 14035 -> 14365
  43100 cols, round 8: dim 15745 -> 15745
{'name': 'r3v5-random-s5', 'D': 7, 'cols_full': 43100, 'dim_base': 3112, 'dim_existing_after': 3112, 'conservative': True, 'one_in_full': False, 'seconds': 322.88}
  12286 cols, round 1: dim 6 -> 72
  12286 cols, round 2: dim 72 -> 420
  12286 cols, round 3: dim 420 -> 1033
  12286 cols, round 4: dim 1033 -> 2273
  12286 cols, round 5: dim 2273 -> 3698
  12286 cols, round 6: dim 3698 -> 4210
  12286 cols, round 7: dim 4210 -> 4215
  12286 cols, round 8: dim 4215 -> 4215
  62341 cols, round 1: dim 9 -> 135
  62341 cols, round 2: dim 135 -> 1010
  62341 cols, round 3: dim 1010 -> 2689
  62341 cols, round 4: dim 2689 -> 6818
  62341 cols, round 8: dim 14365 -> 14365
{'name': 'r3v6-random-s0', 'D': 7, 'cols_full': 62341, 'dim_base': 3893, 'dim_existing_after': 3901, 'conservative': False, 'one_in_full': False, 'seconds': 369.63}
  62341 cols, round 5: dim 6818 -> 13781
  62341 cols, round 6: dim 13781 -> 17678
  62341 cols, round 7: dim 17678 -> 17754
  62341 cols, round 8: dim 17754 -> 17760
  62341 cols, round 9: dim 17760 -> 17760
{'name': 'r3v6-random-s5', 'D': 7, 'cols_full': 62341, 'dim_base': 4215, 'dim_existing_after': 4217, 'conservative': False, 'one_in_full': False, 'seconds': 498.49}
