{'name': 'r3v5-random-s0', 'D': 6, 'low_dim_next': 1551, 'dim_base': 1539, 'semantic': 1551, 'gap_next': 0}
{'name': 'r3v5-random-s1', 'D': 6, 'low_dim_next': 1368, 'dim_base': 1342, 'semantic': 1368, 'gap_next': 0}
{'name': 'r3v5-random-s2', 'D': 6, 'low_dim_next': 1283, 'dim_base': 1261, 'semantic': 1283, 'gap_next': 0}
{'name': 'r3v5-random-s3', 'D': 6, 'low_dim_next': 1175, 'dim_base': 1163, 'semantic': 1175, 'gap_next': 0}
{'name': 'r3v5-random-s4', 'D': 6, 'low_dim_next': 1309, 'dim_base': 1274, 'semantic': 1309, 'gap_next': 0}
{'name': 'r3v5-random-s5', 'D': 6, 'low_dim_next': 1188, 'dim_base': 1166, 'semantic': 1188, 'gap_next': 0}
{'name': 'r3v6-random-s0', 'D': 6, 'low_dim_next': 1233, 'dim_base': 1172, 'semantic': 1235, 'gap_next': 2}
{'name': 'r3v6-random-s1', 'D': 6, 'low_dim_next': 968, 'dim_base': 928, 'semantic': 968, 'gap_next': 0}
{'name': 'r3v6-random-s2', 'D': 6, 'low_dim_next': 1105, 'dim_base': 1062, 'semantic': 1105, 'gap_next': 0}
{'name': 'r3v6-random-s3', 'D': 6, 'low_dim_next': 1037, 'dim_base': 960, 'semantic': 1037, 'gap_next': 0}
{'name': 'r3v6-random-s4', 'D': 6, 'low_dim_next': 966, 'dim_base': 901, 'semantic': 966, 'gap_next': 0}
{'name': 'r3v6-random-s5', 'D': 6, 'low_dim_next': 1352, 'dim_base': 1284, 'semantic': 1352, 'gap_next': 0}
