p2/block0/companion0: 4 terms, image/witness 4/4, original 3, bound 9
p2/block0/companion1: 4 terms, image/witness 4/4, original 3, bound 9
p2/block1/companion0: 9 terms, image/witness 11/11, original 7, bound 21
p2/block1/companion1: 7 terms, image/witness 11/11, original 7, bound 21
p2/block2/companion0: 8 terms, image/witness 19/19, original 11, bound 33
p2/block2/companion1: 9 terms, image/witness 15/15, original 9, bound 27
p2/field6: 3 terms, image/witness 4/4, original 2, bound 6
p2/field7: 2 terms, image/witness 4/4, original 2, bound 6
p2/field8: 3 terms, image/witness 6/6, original 2, bound 6
p2/field9: 5 terms, image/witness 6/6, original 2, bound 6
p2/field10: 4 terms, image/witness 6/6, original 2, bound 6
p2/field11: 3 terms, image/witness 6/6, original 2, bound 6
p2/affine_row0: 1 terms, image/witness 1/1, original 1, bound 1
p2/affine_row1: 1 terms, image/witness 1/1, original 1, bound 1
p2/affine_row2: 1 terms, image/witness 1/1, original 1, bound 1
p3/block0/companion0: 4 terms, image/witness 4/4, original 3, bound 9
p3/block0/companion1: 4 terms, image/witness 4/4, original 3, bound 9
p3/block1/companion0: 9 terms, image/witness 11/11, original 7, bound 21
p3/block1/companion1: 7 terms, image/witness 11/11, original 7, bound 21
p3/block2/companion0: 9 terms, image/witness 19/19, original 11, bound 33
p3/block2/companion1: 10 terms, image/witness 15/15, original 9, bound 27
p3/field6: 3 terms, image/witness 6/6, original 3, bound 9
p3/field7: 2 terms, image/witness 6/6, original 3, bound 9
p3/field8: 3 terms, image/witness 9/9, original 3, bound 9
p3/field9: 5 terms, image/witness 9/9, original 3, bound 9
p3/field10: 4 terms, image/witness 9/9, original 3, bound 9
p3/field11: 3 terms, image/witness 9/9, original 3, bound 9
p3/affine_row0: 1 terms, image/witness 1/1, original 1, bound 1
p3/affine_row1: 1 terms, image/witness 1/1, original 1, bound 1
p3/affine_row2: 1 terms, image/witness 1/1, original 1, bound 1
Passed 30 complete NS certificates, 16 semantic states, and three controls.
