n k | MSZ lower | D(n,k) | n+2k-3 | D - MSZ | argmin l | D_l for l=0..k-1
3 1 |         2 |      3 |      3 |       1 | [0]      | [3]
3 2 |         4 |      4 |      4 |       0 | [0]      | [4, 5]
3 3 |         6 |      6 |      6 |       0 | [0, 1]   | [6, 6, 7]
4 1 |         2 |      4 |      4 |       2 | [0]      | [4]
4 2 |         4 |      5 |      5 |       1 | [0]      | [5, 6]
4 3 |         6 |      7 |      7 |       1 | [0, 1]   | [7, 7, 8]
4 4 |         8 |      8 |      9 |       0 | [0]      | [8, 9, 9, 10]
5 1 |         2 |      5 |      5 |       3 | [0]      | [5]
5 2 |         4 |      6 |      6 |       2 | [0]      | [6, 7]
5 3 |         6 |      8 |      8 |       2 | [0, 1]   | [8, 8, 9]
5 4 |         8 |      9 |     10 |       1 | [0]      | [9, 10, 10, 11]
5 5 |        10 |     11 |     12 |       1 | [1]      | [12, 11, 12, 12, 13]
5 6 |        12 |     13 |     14 |       1 | [0, 2]   | [13, 14, 13, 14, 14, 15]
5 7 |        14 |     15 |     16 |       1 | [0, 1, 3] | [15, 15, 16, 15, 16, 16, 17]
5 8 |        16 |     16 |     18 |       0 | [0]      | [16, 17, 17, 18, 17, 18, 18, 19]
6 1 |         2 |      6 |      6 |       4 | [0]      | [6]
6 2 |         4 |      7 |      7 |       3 | [0]      | [7, 8]
6 3 |         6 |      9 |      9 |       3 | [0, 1]   | [9, 9, 10]
6 4 |         8 |     10 |     11 |       2 | [0]      | [10, 11, 11, 12]
6 5 |        10 |     12 |     13 |       2 | [1]      | [None, 12, None, None, None]
6 6 |        12 |     14 |     15 |       2 | [0, 2]   | [14, None, 14, None, None, None]
7 2 |         4 |      8 |      8 |       4 | [0]      | [8, None]
7 3 |         6 |     10 |     10 |       4 | [0, 1]   | [10, 10, None]
7 4 |         8 |     11 |     12 |       3 | [0]      | [11, None, None, None]
