Page  Type          URL
  16  Annotation    https://kbr.is-a.dev/math-research/#publication-Res-parity-bit-PHP-theorem
  16  Annotation    https://kbr.is-a.dev/math-research/#bit-PHP-publication-audit-verdict
  16  Annotation    https://github.com/kbr-/math-research
  16  Annotation    https://kbr.is-a.dev/math-research/
  19  Annotation    https://eccc.weizmann.ac.il/report/2021/182/
  19  Annotation    https://eccc.weizmann.ac.il/report/2025/106/
  19  Annotation    https://doi.org/10.1145/3798129.3800809
  19  Annotation    https://doi.org/10.4230/LIPIcs.CCC.2024.23
  19  Annotation    https://arxiv.org/abs/2511.20023
  19  Annotation    https://doi.org/10.1007/BF01294258
  19  Annotation    https://doi.org/10.1007/BF01294258
  19  Annotation    https://doi.org/10.1112/jlms/49.1.25
  19  Annotation    https://doi.org/10.1137/24M1696640
  19  Annotation    https://eccc.weizmann.ac.il/report/2026/018/
  19  Annotation    https://eccc.weizmann.ac.il/report/2026/018/
  19  Annotation    https://doi.org/10.1007/978-3-662-44465-8_32
  19  Annotation    https://doi.org/10.1007/978-3-662-44465-8_32
  19  Annotation    https://doi.org/10.1016/j.apal.2019.102722
  19  Annotation    https://doi.org/10.1016/j.apal.2019.102722
  19  Annotation    https://github.com/kbr-/math-research
  19  Annotation    https://kbr.is-a.dev/math-research/
  19  Annotation    https://kbr.is-a.dev/math-research/
