# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_nu_squarefree 1000003 3 905036 993870 890299 96034 88995 378597 @research/results/bmd-r108-degree-vectors/nu-n3.txt
# run 49cd10f843, session bmd-r108; full output
n=3 nu=1,0,0,-1,0,-1,-1,-1 N=5: deg 9 (homogeneous 9) a1:2 a2:2 a3:2 a1-a2:1 a1-a3:1 a2-a3:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=0,0,0,-1,0,-1,-1,-1 N=4: deg 6 (homogeneous 6) a1:1 a2:1 a3:1 a1-a2:1 a1-a3:1 a2-a3:1 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=2,1,1,0,1,0,0,-1 N=12: deg 60 (homogeneous 60) a1:10 a2:10 a3:10 a1-a2:7 a1-a3:7 a2-a3:7 | rest 9, deg gcd(R,R')=0, factors: 1^1 1^1 7^1 | SQUAREFREE
n=3 nu=1,0,0,0,0,0,0,-1 N=8: deg 27 (homogeneous 27) a1:4 a2:4 a3:4 a1-a2:4 a1-a3:4 a2-a3:4 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=3 nu=3,2,2,1,2,1,1,0 N=20: deg 172 (homogeneous 172) a1:26 a2:26 a3:26 a1-a2:21 a1-a3:21 a2-a3:21 | rest 31, deg gcd(R,R')=0, factors: 29^1 2^1 | SQUAREFREE
n=3 nu=1,1,1,0,1,0,0,0 N=12: deg 62 (homogeneous 62) a1:9 a2:9 a3:9 a1-a2:9 a1-a3:9 a2-a3:9 | rest 8, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 2^1 2^1 | SQUAREFREE
n=3 nu=4,3,3,2,3,2,2,1 N=28: deg 340 (homogeneous 340) a1:50 a2:50 a3:50 a1-a2:43 a1-a3:43 a2-a3:43 | rest 61, deg gcd(R,R')=0, factors: 59^1 2^1 | SQUAREFREE
n=3 nu=2,1,1,1,1,1,1,0 N=16: deg 111 (homogeneous 111) a1:16 a2:16 a3:16 a1-a2:16 a1-a3:16 a2-a3:16 | rest 15, deg gcd(R,R')=0, factors: 4^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 2^1 | SQUAREFREE
n=3 nu=5,4,4,3,4,3,3,2 N=36: deg 564 (homogeneous 564) a1:82 a2:82 a3:82 a1-a2:73 a1-a3:73 a2-a3:73 | rest 99, deg gcd(R,R')=0, factors: 82^1 1^1 2^1 4^1 5^1 5^1 | SQUAREFREE
n=3 nu=2,2,2,1,2,1,1,1 N=20: deg 174 (homogeneous 174) a1:25 a2:25 a3:25 a1-a2:25 a1-a3:25 a2-a3:25 | rest 24, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 2^1 2^1 3^1 4^1 4^1 | SQUAREFREE
n=3 nu=6,5,5,4,5,4,4,3 N=44: deg 844 (homogeneous 844) a1:122 a2:122 a3:122 a1-a2:111 a1-a3:111 a2-a3:111 | rest 145, deg gcd(R,R')=0, factors: 34^1 1^1 2^1 3^1 10^1 18^1 22^1 26^1 29^1 | SQUAREFREE
n=3 nu=3,2,2,2,2,2,2,1 N=24: deg 251 (homogeneous 251) a1:36 a2:36 a3:36 a1-a2:36 a1-a3:36 a2-a3:36 | rest 35, deg gcd(R,R')=0, factors: 6^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 1^1 2^1 2^1 2^1 3^1 4^1 4^1 4^1 | SQUAREFREE
n=3 nu=0,4,5,-1,4,2,4,1 N=27: deg 302 (homogeneous 302) a1:30 a2:37 a3:50 a1-a2:40 a1-a3:31 a2-a3:31 | rest 83, deg gcd(R,R')=0, factors: 75^1 1^1 1^1 1^1 1^1 4^1 | SQUAREFREE
n=3 nu=2,0,-1,1,0,0,0,4 N=14: deg 77 (homogeneous 77) a1:9 a2:8 a3:14 a1-a2:7 a1-a3:4 a2-a3:3 | rest 32, deg gcd(R,R')=0, factors: 26^1 1^1 1^1 4^1 | SQUAREFREE
n=3 nu=5,1,0,-1,0,-1,3,2 N=17: deg 111 (homogeneous 111) a1:24 a2:10 a3:10 a1-a2:1 a1-a3:1 a2-a3:23 | rest 42, deg gcd(R,R')=0, factors: 24^1 2^1 2^1 2^1 5^1 7^1 | SQUAREFREE
n=3 nu=-1,3,1,4,5,2,0,4 N=26: deg 280 (homogeneous 280) a1:33 a2:41 a3:39 a1-a2:35 a1-a3:19 a2-a3:25 | rest 88, deg gcd(R,R')=0, factors: 67^1 2^1 3^1 16^1 | SQUAREFREE
n=3 nu=4,3,4,-1,4,4,3,5 N=34: deg 494 (homogeneous 494) a1:69 a2:75 a3:65 a1-a2:52 a1-a3:56 a2-a3:57 | rest 120, deg gcd(R,R')=0, factors: 68^1 1^1 2^1 2^1 8^1 8^1 31^1 | SQUAREFREE
n=3 nu=2,-1,1,5,4,1,4,0 N=24: deg 236 (homogeneous 236) a1:27 a2:33 a3:31 a1-a2:12 a1-a3:33 a2-a3:14 | rest 86, deg gcd(R,R')=0, factors: 71^1 4^1 5^1 6^1 | SQUAREFREE
n=3 nu=0,3,5,2,0,-1,-1,2 N=18: deg 126 (homogeneous 126) a1:22 a2:18 a3:10 a1-a2:16 a1-a3:13 a2-a3:13 | rest 34, deg gcd(R,R')=0, factors: 21^1 1^1 3^1 9^1 | SQUAREFREE
n=3 nu=5,3,-1,2,0,1,0,4 N=22: deg 196 (homogeneous 196) a1:31 a2:23 a3:29 a1-a2:13 a1-a3:8 a2-a3:18 | rest 74, deg gcd(R,R')=0, factors: 65^1 4^1 5^1 | SQUAREFREE
n=3 nu=2,4,4,-1,1,5,5,5 N=33: deg 459 (homogeneous 459) a1:63 a2:63 a3:66 a1-a2:63 a1-a3:30 a2-a3:30 | rest 144, deg gcd(R,R')=0, factors: 105^1 1^1 1^1 2^1 5^1 7^1 23^1 | SQUAREFREE
n=3 nu=0,0,3,1,3,0,-1,0 N=14: deg 78 (homogeneous 78) a1:13 a2:7 a3:7 a1-a2:3 a1-a3:3 a2-a3:17 | rest 28, deg gcd(R,R')=0, factors: 17^1 1^1 1^1 2^1 7^1 | SQUAREFREE
n=3 nu=5,3,5,2,5,2,0,-1 N=29: deg 349 (homogeneous 349) a1:60 a2:54 a3:54 a1-a2:29 a1-a3:29 a2-a3:47 | rest 76, deg gcd(R,R')=0, factors: 41^1 1^1 3^1 4^1 6^1 21^1 | SQUAREFREE
n=3 nu=3,4,0,-1,4,3,0,3 N=24: deg 238 (homogeneous 238) a1:44 a2:25 a3:41 a1-a2:22 a1-a3:37 a2-a3:23 | rest 46, deg gcd(R,R')=0, factors: 14^1 2^1 2^1 4^1 5^1 8^1 11^1 | SQUAREFREE
n=3 nu=0,1,1,-1,-1,5,5,4 N=22: deg 189 (homogeneous 189) a1:32 a2:32 a3:24 a1-a2:40 a1-a3:2 a2-a3:2 | rest 57, deg gcd(R,R')=0, factors: 39^1 3^1 4^1 11^1 | SQUAREFREE
n=3 nu=1,0,2,4,-1,2,4,2 N=22: deg 201 (homogeneous 201) a1:32 a2:20 a3:33 a1-a2:12 a1-a3:33 a2-a3:11 | rest 60, deg gcd(R,R')=0, factors: 25^1 1^1 2^1 3^1 3^1 7^1 19^1 | SQUAREFREE
