# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_nu_squarefree 1000003 3 905036 993870 890299 96034 88995 378597 @research/results/bmd-r109-route-review/mono-n3.txt
# run 70e0a35f54, session bmd-r109; full output
n=3 nu=3,3,2,0,2,2,2,0 N=22: deg 207 (homogeneous 207) a1:31 a2:28 a3:34 a1-a2:22 a1-a3:24 a2-a3:24 | rest 44, deg gcd(R,R')=0, factors: 38^1 1^1 2^1 3^1 | SQUAREFREE
n=3 nu=4,3,2,2,2,2,1,-1 N=23: deg 224 (homogeneous 224) a1:38 a2:33 a3:33 a1-a2:25 a1-a3:25 a2-a3:24 | rest 46, deg gcd(R,R')=0, factors: 32^1 5^1 9^1 | SQUAREFREE
n=3 nu=3,2,1,0,3,0,-1,-1 N=15: deg 89 (homogeneous 89) a1:18 a2:11 a3:19 a1-a2:6 a1-a3:11 a2-a3:5 | rest 19, deg gcd(R,R')=0, factors: 7^1 1^1 2^1 3^1 3^1 3^1 | SQUAREFREE
n=3 nu=3,3,1,-1,3,3,-1,-1 N=18: deg 128 (homogeneous 128) a1:32 a2:8 a3:32 a1-a2:4 a1-a3:28 a2-a3:4 | rest 20, deg gcd(R,R')=0, factors: 11^1 1^1 1^1 7^1 | SQUAREFREE
n=3 nu=2,2,0,0,0,-1,-1,-1 N=9: deg 30 (homogeneous 30) a1:10 a2:6 a3:3 a1-a2:3 a1-a3:1 a2-a3:1 | rest 6, deg gcd(R,R')=0, factors: 1^1 5^1 | SQUAREFREE
n=3 nu=4,4,3,3,3,3,3,1 N=32: deg 445 (homogeneous 445) a1:65 a2:64 a3:64 a1-a2:58 a1-a3:58 a2-a3:58 | rest 78, deg gcd(R,R')=0, factors: 50^1 1^1 2^1 2^1 3^1 9^1 11^1 | SQUAREFREE
n=3 nu=1,0,0,-1,-1,-1,-1,-1 N=4: deg 5 (homogeneous 5) a1:2 a2:2 a3:0 a1-a2:1 a1-a3:0 a2-a3:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=2,1,0,-1,0,0,-1,-1 N=8: deg 24 (homogeneous 24) a1:7 a2:3 a3:5 a1-a2:1 a1-a3:3 a2-a3:1 | rest 4, deg gcd(R,R')=0, factors: 1^1 3^1 | SQUAREFREE
n=3 nu=3,2,2,0,1,0,1,0 N=17: deg 122 (homogeneous 122) a1:19 a2:20 a3:18 a1-a2:14 a1-a3:9 a2-a3:13 | rest 29, deg gcd(R,R')=0, factors: 23^1 6^1 | SQUAREFREE
n=3 nu=4,4,3,3,3,2,2,2 N=31: deg 418 (homogeneous 418) a1:62 a2:61 a3:59 a1-a2:57 a1-a3:49 a2-a3:49 | rest 81, deg gcd(R,R')=0, factors: 59^1 1^1 1^1 2^1 18^1 | SQUAREFREE
n=3 nu=3,2,3,1,1,-1,0,-1 N=16: deg 103 (homogeneous 103) a1:20 a2:24 a3:12 a1-a2:15 a1-a3:5 a2-a3:6 | rest 21, deg gcd(R,R')=0, factors: 1^1 10^1 10^1 | SQUAREFREE
n=3 nu=2,0,0,-1,0,-1,0,-1 N=7: deg 18 (homogeneous 18) a1:3 a2:4 a3:4 a1-a2:1 a1-a3:1 a2-a3:3 | rest 2, deg gcd(R,R')=0, factors: 2^1 | SQUAREFREE
n=3 nu=1,1,-1,-1,1,0,-1,-1 N=7: deg 18 (homogeneous 18) a1:6 a2:0 a3:6 a1-a2:0 a1-a3:6 a2-a3:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=2,1,2,-1,1,1,0,-1 N=13: deg 69 (homogeneous 69) a1:10 a2:11 a3:13 a1-a2:5 a1-a3:10 a2-a3:6 | rest 14, deg gcd(R,R')=0, factors: 1^1 1^1 2^1 2^1 4^1 4^1 | SQUAREFREE
n=3 nu=4,3,2,1,3,3,2,-1 N=25: deg 265 (homogeneous 265) a1:42 a2:35 a3:45 a1-a2:24 a1-a3:40 a2-a3:25 | rest 54, deg gcd(R,R')=0, factors: 42^1 1^1 5^1 6^1 | SQUAREFREE
n=3 nu=3,1,1,-1,2,1,1,-1 N=15: deg 92 (homogeneous 92) a1:14 a2:14 a3:20 a1-a2:8 a1-a3:10 a2-a3:10 | rest 16, deg gcd(R,R')=0, factors: 6^1 1^1 2^1 3^1 4^1 | SQUAREFREE
n=3 nu=2,2,2,2,0,0,-1,-1 N=14: deg 79 (homogeneous 79) a1:19 a2:18 a3:6 a1-a2:15 a1-a3:3 a2-a3:2 | rest 16, deg gcd(R,R')=0, factors: 11^1 1^1 4^1 | SQUAREFREE
n=3 nu=2,1,2,0,0,0,0,0 N=13: deg 71 (homogeneous 71) a1:11 a2:13 a3:9 a1-a2:7 a1-a3:6 a2-a3:6 | rest 19, deg gcd(R,R')=0, factors: 8^1 1^1 2^1 4^1 4^1 | SQUAREFREE
n=3 nu=1,0,-1,-1,1,-1,-1,-1 N=5: deg 8 (homogeneous 8) a1:2 a2:0 a3:4 a1-a2:0 a1-a3:1 a2-a3:0 | rest 1, deg gcd(R,R')=0, factors: 1^1 | SQUAREFREE
n=3 nu=1,-1,-1,-1,-1,-1,-1,-1 N=2: deg 0 (homogeneous 0) a1:0 a2:0 a3:0 a1-a2:0 a1-a3:0 a2-a3:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=3 nu=3,2,1,-1,3,1,-1,-1 N=15: deg 88 (homogeneous 88) a1:20 a2:8 a3:22 a1-a2:4 a1-a3:15 a2-a3:4 | rest 15, deg gcd(R,R')=0, factors: 8^1 1^1 1^1 5^1 | SQUAREFREE
n=3 nu=2,2,1,1,0,-1,0,-1 N=12: deg 58 (homogeneous 58) a1:13 a2:13 a3:5 a1-a2:10 a1-a3:2 a2-a3:3 | rest 12, deg gcd(R,R')=0, factors: 6^1 1^1 2^1 3^1 | SQUAREFREE
n=3 nu=3,1,3,-1,2,1,2,-1 N=18: deg 133 (homogeneous 133) a1:14 a2:25 a3:28 a1-a2:8 a1-a3:10 a2-a3:21 | rest 27, deg gcd(R,R')=0, factors: 18^1 1^1 1^1 2^1 5^1 | SQUAREFREE
