# command: /home/kbr/.claude/jobs/fa5ec4c8/tmp/bin/bmd_cube_symmetric_solutions 1,1,1,0/1,1,2,0/1,2,2,0/1,2,3,0/1,3,3,0/1,3,4,0/1,4,4,0/1,4,5,0/1,5,5,0/1,5,6,0/1,8,8,0/1,8,9,0 rank
# run e93e2b6e4b, session bmd-r128; full output
n=1 d=1 m=1 l=0: rows 2 cols 2 rank 2 rank-without-top 1, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=1 m=2 l=0: rows 2 cols 3 rank 2 rank-without-top 2, invariant top span dim 1 (rank mode) secs 0.00
n=1 d=2 m=2 l=0: rows 3 cols 3 rank 3 rank-without-top 2, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=2 m=3 l=0: rows 3 cols 4 rank 3 rank-without-top 3, invariant top span dim 1 (rank mode) secs 0.00
n=1 d=3 m=3 l=0: rows 4 cols 4 rank 4 rank-without-top 3, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=3 m=4 l=0: rows 4 cols 5 rank 4 rank-without-top 4, invariant top span dim 1 (rank mode) secs 0.00
n=1 d=4 m=4 l=0: rows 5 cols 5 rank 5 rank-without-top 4, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=4 m=5 l=0: rows 5 cols 6 rank 5 rank-without-top 5, invariant top span dim 1 (rank mode) secs 0.00
n=1 d=5 m=5 l=0: rows 6 cols 6 rank 6 rank-without-top 5, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=5 m=6 l=0: rows 6 cols 7 rank 6 rank-without-top 6, invariant top span dim 1 (rank mode) secs 0.00
n=1 d=8 m=8 l=0: rows 9 cols 9 rank 9 rank-without-top 8, invariant top span dim 0 (rank mode) secs 0.00
n=1 d=8 m=9 l=0: rows 9 cols 10 rank 9 rank-without-top 9, invariant top span dim 1 (rank mode) secs 0.00
