# command: python3 research/tools/bmd_cube_nu_noncollision.py 2,1,1,0 3,2,2,1 4,3,3,2 5,4,4,3 2,0,0,-1 4,2,2,0 6,4,4,2 3,1,1,-1 3,2,1,0 4,3,2,1 4,2,1,0 5,3,2,1
# run b5893bbd3b, session bmd-r130; full output
nu=2,1,1,0 N=8: collision factors {'x - 1': 6, 'x': 8}; non-collision factors [('x + 1', 1)]; squarefree True; non-collision degree 1  (0.1 s)
nu=3,2,2,1 N=12: collision factors {'x - 1': 15, 'x': 18}; non-collision factors [('x + 3', 1), ('3*x + 1', 1)]; squarefree True; non-collision degree 2  (1.2 s)
nu=4,3,3,2 N=16: collision factors {'x - 1': 28, 'x': 32}; non-collision factors [('x + 1', 1), ('x**2 + 6*x + 1', 1)]; squarefree True; non-collision degree 3  (7.8 s)
nu=5,4,4,3 N=20: collision factors {'x - 1': 45, 'x': 50}; non-collision factors [('x**2 + 10*x + 5', 1), ('5*x**2 + 10*x + 1', 1)]; squarefree True; non-collision degree 4  (34.0 s)
nu=2,0,0,-1 N=5: collision factors {'x - 1': 1, 'x': 3}; non-collision factors []; squarefree True; non-collision degree 0  (0.0 s)
nu=4,2,2,0 N=12: collision factors {'x - 1': 11, 'x': 18}; non-collision factors [('x + 1', 1), ('7*x**2 + 2*x + 7', 1)]; squarefree True; non-collision degree 3  (0.5 s)
nu=6,4,4,2 N=20: collision factors {'x - 1': 37, 'x': 50}; non-collision factors [('x + 1', 1), ('165*x**8 + 1320*x**7 + 5676*x**6 + 16024*x**5 + 19166*x**4 + 16024*x**3 + 5676*x**2 + 1320*x + 165', 1)]; squarefree True; non-collision degree 9  (21.0 s)
nu=3,1,1,-1 N=8: collision factors {'x - 1': 4, 'x': 8}; non-collision factors []; squarefree True; non-collision degree 0  (0.0 s)
nu=3,2,1,0 N=10: collision factors {'x - 1': 6, 'x': 11}; non-collision factors [('165*x**4 + 66*x**2 + 40*x - 15', 1)]; squarefree True; non-collision degree 4  (0.1 s)
nu=4,3,2,1 N=14: collision factors {'x - 1': 15, 'x': 23}; non-collision factors [('637*x**7 + 1365*x**6 + 2457*x**5 + 3185*x**4 + 135*x**3 + 399*x**2 + 35*x - 21', 1)]; squarefree True; non-collision degree 7  (1.8 s)
nu=4,2,1,0 N=11: collision factors {'x - 1': 6, 'x': 13}; non-collision factors [('429*x**5 - 143*x**4 + 130*x**3 + 82*x**2 + 49*x - 35', 1)]; squarefree True; non-collision degree 5  (0.2 s)
nu=5,3,2,1 N=15: collision factors {'x - 1': 15, 'x': 26}; non-collision factors [('4641*x**9 + 7735*x**8 + 13260*x**7 + 18836*x**6 + 20230*x**5 - 3318*x**4 + 3660*x**3 + 660*x**2 - 63*x - 105', 1)]; squarefree True; non-collision degree 9  (2.0 s)
