NONEX 1 y1^12*y2^3*B^3+y1^9*y2^6*B^3+y1^6*y2^9*B^3+y1^3*y2^12*B^3+y1^12*y2^3*B^2+y1^9*y2^6*B^2+y1^6*y2^9*B^2+y1^3*y2^12*B^2+y1^12*y2^3*B+y1^10*y2^5*B+y1^5*y2^10*B+y1^3*y2^12*B+y1^12*y2^3+y1^10*y2^5+y1^5*y2^10+y1^3*y2^12
LAMBDA 1 0 0
LAMBDA 1 1 0
LAMBDA 1 2 y1^4*y2+y1^3*y2^2
LAMBDA 1 3 y1^5*B+y1^4*y2*B+y1^3*y2^2*B+y1^5
LAMBDA 1 4 0
LAMBDA 1 5 0
LAMBDA 1 6 y1^4*y2*B+y1^3*y2^2*B+y1^2*y2^3*B+y1^4*y2
LAMBDA 1 7 y1^2*y2^3+y1*y2^4
LAMBDA 1 8 y1^3*y2^2*B+y1^2*y2^3*B+y1*y2^4*B+y1*y2^4
LAMBDA 1 9 y1^2*y2^3*B+y1*y2^4*B+y2^5*B+y2^5
