c  v2((2c-2)!) | delta(n,c,0)-n for n = 1 2 3 4 5 6
 1     0        |   0   0   0   0   0   .
 2     1        |   1   1   1   1   1   .
 3     3        |   2   3   3   3   3   .
 4     4        |   3   4   4   4   4   .
 5     7        |   4   6   7   7   7   .
 6     8        |   5   7   8   8   8   .
 7    10        |   6   9  10  10  10   .
 8    11        |   7  10  11  11  11   .
 9    15        |   8  12  14  15  15   .
10    16        |   9  13  15  16  16   .
11    18        |  10  15  17  18  18   .
12    19        |  11  16  18  19  19   .
13    22        |  12  18  21  22  22   .
14    23        |  13  19  22  23  23   .
15    25        |  14  21  24  25  25   .
16    26        |  15  22  25  26  26  26
