# command: bmd_cube_line_splitting 1000003 1 1 0 7 3 11 6:24:23:-3
# run 1166291d91, session bmd-r48-tate; full output
p=1000003 d=6 m=24 rho=1 line P=(1,1,0) Q=(7,3,11)
l=-3: dim E_L = 0, dim W_m image = 0
l=-2: dim E_L = 0, dim W_m image = 0
l=-1: dim E_L = 0, dim W_m image = 0
l=0: dim E_L = 0, dim W_m image = 0
l=1: dim E_L = 0, dim W_m image = 0
l=2: dim E_L = 0, dim W_m image = 0
l=3: dim E_L = 0, dim W_m image = 0
l=4: dim E_L = 0, dim W_m image = 0
l=5: dim E_L = 0, dim W_m image = 0
l=6: dim E_L = 0, dim W_m image = 0
l=7: dim E_L = 0, dim W_m image = 0
l=8: dim E_L = 0, dim W_m image = 0
l=9: dim E_L = 0, dim W_m image = 0
l=10: dim E_L = 0, dim W_m image = 0
l=11: dim E_L = 0, dim W_m image = 0
l=12: dim E_L = 0, dim W_m image = 0
l=13: dim E_L = 0, dim W_m image = 0
l=14: dim E_L = 0, dim W_m image = 0
l=15: dim E_L = 0, dim W_m image = 0
l=16: dim E_L = 0, dim W_m image = 0
l=17: dim E_L = 1, dim W_m image = 1
l=18: dim E_L = 2, dim W_m image = 2
l=19: dim E_L = 3, dim W_m image = 3
l=20: dim E_L = 4, dim W_m image = 4
l=21: dim E_L = 5, dim W_m image = 5
l=22: dim E_L = 6, dim W_m image = 6
l=23: dim E_L = 7, dim W_m image = 7
generator degrees b_i: 17
