# command: env OMP_NUM_THREADS=12 /home/kbr/.claude/jobs/fa5ec4c8/tmp/bmd_cube_plane_rows 1000003 rows 3 4 5 6
# run 496afb352c, session bmd-r69; full output
p=3 k=21 D=39 psi=4
row(side) 0: unknowns 742 conditions 693 nullity 78; unforced entries below 4:
row(side) 1: unknowns 723 conditions 630 nullity 105; unforced entries below 3:
row(side) 2: unknowns 704 conditions 570 nullity 136; unforced entries below 2:
row(side) 3: unknowns 685 conditions 513 nullity 172; unforced entries below 1: 0
col(diag) 0: unknowns 742 conditions 693 nullity 78; unforced entries below 4:
col(diag) 1: unknowns 723 conditions 630 nullity 105; unforced entries below 3:
col(diag) 2: unknowns 704 conditions 570 nullity 136; unforced entries below 2:
col(diag) 3: unknowns 685 conditions 513 nullity 172; unforced entries below 1: 0
p=4 k=32 D=60 psi=8
row(side) 0: unknowns 1663 conditions 1584 nullity 153; unforced entries below 8:
row(side) 1: unknowns 1634 conditions 1488 nullity 190; unforced entries below 7:
row(side) 2: unknowns 1605 conditions 1395 nullity 231; unforced entries below 6:
row(side) 3: unknowns 1576 conditions 1305 nullity 276; unforced entries below 5:
row(side) 4: unknowns 1547 conditions 1218 nullity 329; unforced entries below 4: 0 1 2 3
row(side) 5: unknowns 1518 conditions 1134 nullity 384; unforced entries below 3: 0 1 2
row(side) 6: unknowns 1489 conditions 1053 nullity 436; unforced entries below 2: 0 1
row(side) 7: unknowns 1460 conditions 975 nullity 485; unforced entries below 1: 0
col(diag) 0: unknowns 1663 conditions 1584 nullity 153; unforced entries below 8:
col(diag) 1: unknowns 1634 conditions 1488 nullity 190; unforced entries below 7:
col(diag) 2: unknowns 1605 conditions 1395 nullity 231; unforced entries below 6:
col(diag) 3: unknowns 1576 conditions 1305 nullity 276; unforced entries below 5:
col(diag) 4: unknowns 1547 conditions 1218 nullity 329; unforced entries below 4: 0 1 2 3
col(diag) 5: unknowns 1518 conditions 1134 nullity 384; unforced entries below 3: 0 1 2
col(diag) 6: unknowns 1489 conditions 1053 nullity 436; unforced entries below 2: 0 1
col(diag) 7: unknowns 1460 conditions 975 nullity 485; unforced entries below 1: 0
p=5 k=45 D=85 psi=12
row(side) 0: unknowns 3267 conditions 3105 nullity 300; unforced entries below 12:
row(side) 1: unknowns 3226 conditions 2970 nullity 351; unforced entries below 11:
row(side) 2: unknowns 3185 conditions 2838 nullity 406; unforced entries below 10:
row(side) 3: unknowns 3144 conditions 2709 nullity 465; unforced entries below 9:
row(side) 4: unknowns 3103 conditions 2583 nullity 528; unforced entries below 8:
row(side) 5: unknowns 3062 conditions 2460 nullity 602; unforced entries below 7: 0 1 2 3 4 5 6
row(side) 6: unknowns 3021 conditions 2340 nullity 681; unforced entries below 6: 0 1 2 3 4 5
row(side) 7: unknowns 2980 conditions 2223 nullity 757; unforced entries below 5: 0 1 2 3 4
row(side) 8: unknowns 2939 conditions 2109 nullity 830; unforced entries below 4: 0 1 2 3
row(side) 9: unknowns 2898 conditions 1998 nullity 900; unforced entries below 3: 0 1 2
row(side) 10: unknowns 2857 conditions 1890 nullity 967; unforced entries below 2: 0 1
row(side) 11: unknowns 2816 conditions 1785 nullity 1031; unforced entries below 1: 0
col(diag) 0: unknowns 3267 conditions 3105 nullity 300; unforced entries below 12:
col(diag) 1: unknowns 3226 conditions 2970 nullity 351; unforced entries below 11:
col(diag) 2: unknowns 3185 conditions 2838 nullity 406; unforced entries below 10:
col(diag) 3: unknowns 3144 conditions 2709 nullity 465; unforced entries below 9:
col(diag) 4: unknowns 3103 conditions 2583 nullity 528; unforced entries below 8:
col(diag) 5: unknowns 3062 conditions 2460 nullity 602; unforced entries below 7: 0 1 2 3 4 5 6
col(diag) 6: unknowns 3021 conditions 2340 nullity 681; unforced entries below 6: 0 1 2 3 4 5
col(diag) 7: unknowns 2980 conditions 2223 nullity 757; unforced entries below 5: 0 1 2 3 4
col(diag) 8: unknowns 2939 conditions 2109 nullity 830; unforced entries below 4: 0 1 2 3
col(diag) 9: unknowns 2898 conditions 1998 nullity 900; unforced entries below 3: 0 1 2
col(diag) 10: unknowns 2857 conditions 1890 nullity 967; unforced entries below 2: 0 1
col(diag) 11: unknowns 2816 conditions 1785 nullity 1031; unforced entries below 1: 0
p=6 k=60 D=114 psi=18
row(side) 0: unknowns 5743 conditions 5490 nullity 496; unforced entries below 18:
row(side) 1: unknowns 5688 conditions 5310 nullity 561; unforced entries below 17:
row(side) 2: unknowns 5633 conditions 5133 nullity 630; unforced entries below 16:
row(side) 3: unknowns 5578 conditions 4959 nullity 703; unforced entries below 15:
row(side) 4: unknowns 5523 conditions 4788 nullity 780; unforced entries below 14:
row(side) 5: unknowns 5468 conditions 4620 nullity 861; unforced entries below 13:
row(side) 6: unknowns 5413 conditions 4455 nullity 958; unforced entries below 12: 0 1 2 3 4 5 6 7 8 9 10 11
row(side) 7: unknowns 5358 conditions 4293 nullity 1065; unforced entries below 11: 0 1 2 3 4 5 6 7 8 9 10
row(side) 8: unknowns 5303 conditions 4134 nullity 1169; unforced entries below 10: 0 1 2 3 4 5 6 7 8 9
row(side) 9: unknowns 5248 conditions 3978 nullity 1270; unforced entries below 9: 0 1 2 3 4 5 6 7 8
row(side) 10: unknowns 5193 conditions 3825 nullity 1368; unforced entries below 8: 0 1 2 3 4 5 6 7
row(side) 11: unknowns 5138 conditions 3675 nullity 1463; unforced entries below 7: 0 1 2 3 4 5 6
row(side) 12: unknowns 5083 conditions 3528 nullity 1555; unforced entries below 6: 0 1 2 3 4 5
row(side) 13: unknowns 5028 conditions 3384 nullity 1644; unforced entries below 5: 0 1 2 3 4
row(side) 14: unknowns 4973 conditions 3243 nullity 1730; unforced entries below 4: 0 1 2 3
row(side) 15: unknowns 4918 conditions 3105 nullity 1813; unforced entries below 3: 0 1 2
row(side) 16: unknowns 4863 conditions 2970 nullity 1893; unforced entries below 2: 0 1
