v k r seed full HF_measured semireg_pred pairprod_pred
10 2 2 10020 56 54 54 54
10 2 2 10021 56 54 54 54
10 2 4 10040 56 52 52 52
10 2 4 10041 56 52 52 52
10 3 2 10020 176 154 154 158
10 3 2 10021 176 155 154 158
12 2 2 12020 79 77 77 77
12 2 2 12021 79 77 77 77
12 2 4 12040 79 75 75 75
12 2 4 12041 79 75 75 75
12 2 6 12060 79 73 73 73
12 2 6 12061 79 73 73 73
12 3 2 12020 299 275 273 277
12 3 2 12021 299 275 273 277
12 3 4 12040 299 250 247 255
12 3 4 12041 299 251 247 255
14 3 4 14040 470 414 410 418
14 4 4 14040 1471 1108 1057 1161
16 3 4 16040 697 633 629 637
16 3 8 16080 697 568 561 577
16 4 4 16040 2517 2042 1979 2099
