v k r field S full vanish(min..max) quadric_product_prediction union_points(min)
14 3 4 F2 1 470 294..294 0 1024
14 3 4 F2 2 470 160..160 0 1984
14 3 4 F2 3 470 64..64 0 2884
14 3 4 F2 4 470 2..3 0 3727
14 3 4 F2 5 470 0..0 0 4514
14 3 4 F3 1 470 57..57 60 3184
14 3 4 F3 2 470 0..0 0 5761
14 3 4 F3 3 470 0..0 0 7836
14 3 4 F3 4 470 0..0 0 9520
14 3 4 F3 5 470 0..0 0 10832
14 3 8 F2 1 470 428..428 0 64
14 3 8 F2 2 470 386..386 0 128
14 3 8 F2 3 470 344..346 0 190
14 3 8 F2 4 470 303..306 0 252
14 3 8 F2 5 470 263..264 0 316
14 3 8 F3 1 470 113..114 120 634
14 3 8 F3 2 470 0..0 0 1241
14 3 8 F3 3 470 0..0 0 1876
14 3 8 F3 4 470 0..0 0 2449
14 3 8 F3 5 470 0..0 0 2987
14 4 4 F2 1 1471 1085..1085 0 1024
14 4 4 F2 2 1471 756..756 0 1984
14 4 4 F2 3 1471 480..480 0 2884
14 4 4 F2 4 1471 253..254 0 3727
14 4 4 F2 5 1471 67..75 0 4516
14 4 4 F3 1 1471 360..368 424 3180
14 4 4 F3 2 1471 16..16 16 5696
14 4 4 F3 3 1471 0..0 0 7856
14 4 4 F3 4 1471 0..0 0 9549
14 4 4 F3 5 1471 0..0 0 10887
14 4 8 F2 1 1471 1414..1414 0 64
14 4 8 F2 2 1471 1357..1358 0 127
14 4 8 F2 3 1471 1300..1301 0 191
14 4 8 F2 4 1471 1244..1246 0 253
14 4 8 F2 5 1471 1188..1190 0 316
14 4 8 F3 1 1471 830..838 848 648
14 4 8 F3 2 1471 205..240 64 1261
14 4 8 F3 3 1471 0..0 0 1849
14 4 8 F3 4 1471 0..0 0 2440
14 4 8 F3 5 1471 0..0 0 2985
16 3 4 F2 1 697 398..398 0 4096
16 3 4 F2 2 697 192..192 0 7936
16 3 4 F2 3 697 64..64 0 11536
16 3 4 F2 4 697 0..2 0 14912
16 3 4 F2 5 697 0..0 0 18079
16 3 4 F3 1 697 64..64 68 12924
16 3 4 F3 2 697 0..0 0 23278
16 3 4 F3 3 697 0..0 0 31576
16 3 4 F3 4 697 0..0 0 38245
16 3 4 F3 5 697 0..0 0 43641
16 3 8 F2 1 697 604..604 0 256
16 3 8 F2 2 697 512..513 0 510
16 3 8 F2 3 697 421..423 0 763
16 3 8 F2 4 697 329..333 0 1016
16 3 8 F2 5 697 242..242 0 1270
16 3 8 F3 1 697 128..129 136 2534
16 3 8 F3 2 697 0..0 0 4965
16 3 8 F3 3 697 0..0 0 7370
16 3 8 F3 4 697 0..0 0 9660
16 3 8 F3 5 697 0..0 0 11800
16 4 4 F2 1 2517 1723..1723 0 4096
16 4 4 F2 2 2517 1092..1092 0 7936
16 4 4 F2 3 2517 608..608 0 11536
16 4 4 F2 4 2517 257..267 0 14896
16 4 4 F2 5 2517 26..33 0 18060
16 4 4 F3 1 2517 474..475 548 12924
16 4 4 F3 2 2517 16..16 16 23284
16 4 4 F3 3 2517 0..0 0 31481
16 4 4 F3 4 2517 0..0 0 38229
16 4 4 F3 5 2517 0..0 0 43710
16 4 8 F2 1 2517 2354..2354 0 256
16 4 8 F2 2 2517 2191..2193 0 510
16 4 8 F2 3 2517 2032..2032 0 764
16 4 8 F2 4 2517 1872..1875 0 1014
16 4 8 F2 5 2517 1715..1716 0 1266
16 4 8 F3 1 2517 935..936 1096 2556
16 4 8 F3 2 2517 64..65 64 5027
16 4 8 F3 3 2517 0..0 0 7362
16 4 8 F3 4 2517 0..0 0 9644
16 4 8 F3 5 2517 0..0 0 11872
F3 S>=2: vanish == quadric product prediction in 61 of 64
