A1w: t = 1, subsets 6, max member basis degree 3, lowest_fall=4, 0 s
A1w: t = 2, subsets 15, max member basis degree 5, lowest_fall=6, 0 s
A1w: t = 3, subsets 20, max member basis degree 6, lowest_fall=-1, 0 s
A1w: t = 4, subsets 15, max member basis degree 6, lowest_fall=-1, 0 s
A1w: t = 5, subsets 6, max member basis degree 6, lowest_fall=-1, 0 s
A1w: t = 6, subsets 1, max member basis degree 6, lowest_fall=-1, 0 s
A2w: t = 1, subsets 6, max member basis degree 5, lowest_fall=5, 0 s
A2w: t = 2, subsets 15, max member basis degree 6, lowest_fall=6, 0 s
A2w: t = 3, subsets 20, max member basis degree 7, lowest_fall=-1, 0 s
A2w: t = 4, subsets 15, max member basis degree 7, lowest_fall=-1, 0 s
A2w: t = 5, subsets 6, max member basis degree 7, lowest_fall=-1, 0 s
A2w: t = 6, subsets 1, max member basis degree 7, lowest_fall=-1, 0 s
T3: t = 1, subsets 7, max member basis degree 6, lowest_fall=7, 0 s
T3: t = 2, subsets 21, max member basis degree 8, lowest_fall=9, 0 s
T3: t = 3, subsets 35, max member basis degree 10, lowest_fall=10, 0 s
T3: t = 4, subsets 35, max member basis degree 10, lowest_fall=-1, 0 s
T3: t = 5, subsets 21, max member basis degree 10, lowest_fall=-1, 0 s
T3: t = 6, subsets 7, max member basis degree 10, lowest_fall=-1, 0 s
T3: t = 7, subsets 1, max member basis degree 10, lowest_fall=-1, 0 s
D4: t = 1, subsets 8, max member basis degree 5, lowest_fall=7, 0 s
D4: t = 2, subsets 28, max member basis degree 9, lowest_fall=9, 1 s
D4: t = 3, subsets 56, max member basis degree 10, lowest_fall=10, 1 s
D4: t = 4, subsets 70, max member basis degree 11, lowest_fall=12, 1 s
D4: t = 5, subsets 56, max member basis degree 11, lowest_fall=-1, 1 s
D4: t = 6, subsets 28, max member basis degree 11, lowest_fall=-1, 1 s
D4: t = 7, subsets 8, max member basis degree 11, lowest_fall=-1, 1 s
D4: t = 8, subsets 1, max member basis degree 11, lowest_fall=-1, 1 s
D4w3: t = 1, subsets 6, max member basis degree 6, lowest_fall=8, 2 s
D4w3: t = 2, subsets 15, max member basis degree 9, lowest_fall=9, 2 s
D4w3: t = 3, subsets 20, max member basis degree 10, lowest_fall=11, 2 s
D4w3: t = 4, subsets 15, max member basis degree 11, lowest_fall=-1, 2 s
D4w3: t = 5, subsets 6, max member basis degree 11, lowest_fall=-1, 2 s
D4w3: t = 6, subsets 1, max member basis degree 11, lowest_fall=-1, 2 s
Exit 0; log: research/logs/odd-prime-planar-clauses-481acf6ae6.output.txt
