family  hub_dim  blocks  covering_number  least_local_t  active_set_sizes
P4            2       4                2              2  [4, 4, 4, 4]
P4w           2       4                2              2  [4, 4, 4, 4]
P6            2       6                3              2  [4, 4, 4, 4, 4, 4]
H3            3       8                4              3  [12, 12, 12, 12, 12, 12, 12, 12]
A1w           2       6                3              3  [6, 6, 6, 6, 6, 6]
A2w           2       6                3              3  [4, 4, 4, 4, 4, 4]
T3            3       7                4              4  [8, 6, 8, 6, 8, 8, 8]
D4            4       8                6              5  [36, 36, 36, 36, 36, 36, 36, 36]
D4w3          4       6                5              4  [24, 24, 24, 24, 24, 24]
PT6           2       6                6              6  [1, 1, 1, 1, 1, 1]
PT8           2       8                8              6  [1, 1, 1, 1, 1, 1, 1, 1]
